metric,value,date,year,quarter
Housing Expenses,126390,1999-04-01,1999,2
Income,1700626,1999-04-01,1999,2
Housing Expenses,140119,1999-04-01,1999,2
Income,2037798,1999-07-01,1999,3
Housing Expenses,115727,1999-07-01,1999,3
Income,2280919,1999-07-01,1999,3
Housing Expenses,109488,1999-07-01,1999,3
Income,1718472,1999-07-01,1999,3
Housing Expenses,123922,1999-07-01,1999,3
Income,2150771,1999-10-01,1999,4
Housing Expenses,141532,1999-10-01,1999,4
Income,2337809,1999-10-01,1999,4
Housing Expenses,132941,1999-10-01,1999,4
Income,1895911,1999-10-01,1999,4
Housing Expenses,153238,1999-10-01,1999,4
Income,2162493,2000-01-01,2000,1
Housing Expenses,169004,2000-01-01,2000,1
Income,2366669,2000-01-01,2000,1
Housing Expenses,167368,2000-01-01,2000,1
Income,1890804,2000-01-01,2000,1
Housing Expenses,171182,2000-01-01,2000,1
Income,2190388,2000-04-01,2000,2
Housing Expenses,156070,2000-04-01,2000,2
Income,2358357,2000-04-01,2000,2
Housing Expenses,147262,2000-04-01,2000,2
Income,1965892,2000-04-01,2000,2
Housing Expenses,167843,2000-04-01,2000,2
Income,2251162,2000-07-01,2000,3
Housing Expenses,127729,2000-07-01,2000,3
Income,2461107,2000-07-01,2000,3
Housing Expenses,125805,2000-07-01,2000,3
Income,1972094,2000-07-01,2000,3
Housing Expenses,130286,2000-07-01,2000,3
Income,2279058,2000-10-01,2000,4
Housing Expenses,153262,2000-10-01,2000,4
Income,2454401,2000-10-01,2000,4
Housing Expenses,149953,2000-10-01,2000,4
Income,2045717,2000-10-01,2000,4
Housing Expenses,157665,2000-10-01,2000,4
Income,2345507,2001-01-01,2001,1
Housing Expenses,194521,2001-01-01,2001,1
Income,2605111,2001-01-01,2001,1
Housing Expenses,197817,2001-01-01,2001,1
Income,2007551,2001-01-01,2001,1
Housing Expenses,190230,2001-01-01,2001,1
Income,2325331,2001-04-01,2001,2
Housing Expenses,183173,2001-04-01,2001,2
Income,2520316,2001-04-01,2001,2
Housing Expenses,174897,2001-04-01,2001,2
Income,2061988,2001-04-01,2001,2
Housing Expenses,194351,2001-04-01,2001,2
Income,2506651,2001-07-01,2001,3
Housing Expenses,151837,2001-07-01,2001,3
Income,2761632,2001-07-01,2001,3
Housing Expenses,143022,2001-07-01,2001,3
Income,2169728,2001-07-01,2001,3
Housing Expenses,163485,2001-07-01,2001,3
Income,2527119,2001-10-01,2001,4
Housing Expenses,165065,2001-10-01,2001,4
Income,2771062,2001-10-01,2001,4
Housing Expenses,161291,2001-10-01,2001,4
Income,2205253,2001-10-01,2001,4
Housing Expenses,170043,2001-10-01,2001,4
Income,2591918,2002-01-01,2002,1
Housing Expenses,196480,2002-01-01,2002,1
Income,2837833,2002-01-01,2002,1
Housing Expenses,203858,2002-01-01,2002,1
Income,2268856,2002-01-01,2002,1
Housing Expenses,186789,2002-01-01,2002,1
Income,2551194,2002-04-01,2002,2
Housing Expenses,165515,2002-04-01,2002,2
Income,2778922,2002-04-01,2002,2
Housing Expenses,172457,2002-04-01,2002,2
Income,2248575,2002-04-01,2002,2
Housing Expenses,156289,2002-04-01,2002,2
Income,2638241,2002-07-01,2002,3
Housing Expenses,144690,2002-07-01,2002,3
Income,2902185,2002-07-01,2002,3
Housing Expenses,144700,2002-07-01,2002,3
Income,2291416,2002-07-01,2002,3
Housing Expenses,144677,2002-07-01,2002,3
Income,2586028,2002-10-01,2002,4
Housing Expenses,180912,2002-10-01,2002,4
Income,2855608,2002-10-01,2002,4
Housing Expenses,181129,2002-10-01,2002,4
Income,2234458,2002-10-01,2002,4
Housing Expenses,180630,2002-10-01,2002,4
Income,2663267,2003-01-01,2003,1
Housing Expenses,202267,2003-01-01,2003,1
Income,2582089,2003-01-01,2003,1
Housing Expenses,198104,2003-01-01,2003,1
Income,2893599,2003-01-01,2003,1
Housing Expenses,198656,2003-01-01,2003,1
Income,2845840,2003-01-01,2003,1
Housing Expenses,194969,2003-01-01,2003,1
Income,2336322,2003-01-01,2003,1
Housing Expenses,207391,2003-01-01,2003,1
Income,2221416,2003-01-01,2003,1
Housing Expenses,202390,2003-01-01,2003,1
Income,2637504,2003-04-01,2003,2
Housing Expenses,173523,2003-04-01,2003,2
Income,2558371,2003-04-01,2003,2
Housing Expenses,166838,2003-04-01,2003,2
Income,2846746,2003-04-01,2003,2
Housing Expenses,173173,2003-04-01,2003,2
Income,2788401,2003-04-01,2003,2
Housing Expenses,166404,2003-04-01,2003,2
Income,2325099,2003-04-01,2003,2
Housing Expenses,174045,2003-04-01,2003,2
Income,2228076,2003-04-01,2003,2
Housing Expenses,167462,2003-04-01,2003,2
Income,2760024,2003-07-01,2003,3
Housing Expenses,143504,2003-07-01,2003,3
Income,2672267,2003-07-01,2003,3
Housing Expenses,139304,2003-07-01,2003,3
Income,3028878,2003-07-01,2003,3
Housing Expenses,142203,2003-07-01,2003,3
Income,2964442,2003-07-01,2003,3
Housing Expenses,138483,2003-07-01,2003,3
Income,2373334,2003-07-01,2003,3
Housing Expenses,145375,2003-07-01,2003,3
Income,2266949,2003-07-01,2003,3
Housing Expenses,140442,2003-07-01,2003,3
Income,2786590,2003-10-01,2003,4
Housing Expenses,171389,2003-10-01,2003,4
Income,2709546,2003-10-01,2003,4
Housing Expenses,168365,2003-10-01,2003,4
Income,3013319,2003-10-01,2003,4
Housing Expenses,171814,2003-10-01,2003,4
Income,2961407,2003-10-01,2003,4
Housing Expenses,168265,2003-10-01,2003,4
Income,2448322,2003-10-01,2003,4
Housing Expenses,170755,2003-10-01,2003,4
Income,2350896,2003-10-01,2003,4
Housing Expenses,168506,2003-10-01,2003,4
Income,2846384,2004-01-01,2004,1
Housing Expenses,210201,2004-01-01,2004,1
