,Province,Year,Age,Total,Male,Female
636,Gwangju,2022,70-79 Years old,48912,24470,24442
637,Gwangju,2022,80 years and over,21481,10358,11123
638,Gwangju,2022,dead,5917,4414,1503
639,Gwangju,2023,Total,443367,227412,215955
640,Gwangju,2023,Under 30 years,8268,4454,3814
641,Gwangju,2023,30-39 Years old,44358,26281,18077
642,Gwangju,2023,40-49 Years old,101839,55506,46333
643,Gwangju,2023,50-59 Years old,116613,56571,60042
644,Gwangju,2023,60-69 Years old,92269,44231,48038
645,Gwangju,2023,70-79 Years old,50861,24935,25926
646,Gwangju,2023,80 years and over,23294,11087,12207
647,Gwangju,2023,dead,5865,4347,1518
648,Daejeon,2012,Total,359070,206642,152428
649,Daejeon,2012,Under 30 years,9047,5059,3988
650,Daejeon,2012,30-39 Years old,63974,36310,27664
651,Daejeon,2012,40-49 Years old,100457,56695,43762
652,Daejeon,2012,50-59 Years old,95804,55415,40389
653,Daejeon,2012,60-69 Years old,51609,30602,21007
654,Daejeon,2012,70-79 Years old,28486,16353,12133
655,Daejeon,2012,80 years and over,5993,3256,2737
656,Daejeon,2012,dead,3700,2952,748
657,Daejeon,2013,Total,366120,208817,157303
658,Daejeon,2013,Under 30 years,7962,4491,3471
659,Daejeon,2013,30-39 Years old,60891,34409,26482
660,Daejeon,2013,40-49 Years old,102219,56958,45261
661,Daejeon,2013,50-59 Years old,99050,56571,42479
662,Daejeon,2013,60-69 Years old,54267,31891,22376
663,Daejeon,2013,70-79 Years old,30873,17639,13234
664,Daejeon,2013,80 years and over,6940,3731,3209
665,Daejeon,2013,dead,3918,3127,791
666,Daejeon,2014,Total,380020,215380,164640
667,Daejeon,2014,Under 30 years,7841,4456,3385
668,Daejeon,2014,30-39 Years old,60169,34222,25947
669,Daejeon,2014,40-49 Years old,106227,58811,47416
670,Daejeon,2014,50-59 Years old,102718,58002,44716
671,Daejeon,2014,60-69 Years old,58302,33889,24413
672,Daejeon,2014,70-79 Years old,32776,18606,14170
673,Daejeon,2014,80 years and over,7832,4084,3748
674,Daejeon,2014,dead,4155,3310,845
675,Daejeon,2015,Total,391520,219531,171989
676,Daejeon,2015,Under 30 years,8237,4695,3542
677,Daejeon,2015,30-39 Years old,59323,33874,25449
678,Daejeon,2015,40-49 Years old,107544,59034,48510
679,Daejeon,2015,50-59 Years old,104738,57898,46840
680,Daejeon,2015,60-69 Years old,63858,36531,27327
681,Daejeon,2015,70-79 Years old,34584,19491,15093
682,Daejeon,2015,80 years and over,9227,4839,4388
683,Daejeon,2015,dead,4009,3169,840
684,Daejeon,2016,Total,395168,219542,175626
685,Daejeon,2016,Under 30 years,7469,4273,3196
686,Daejeon,2016,30-39 Years old,56647,32669,23978
687,Daejeon,2016,40-49 Years old,107383,58371,49012
688,Daejeon,2016,50-59 Years old,105318,57305,48013
689,Daejeon,2016,60-69 Years old,68089,38354,29735
690,Daejeon,2016,70-79 Years old,35675,19909,15766
691,Daejeon,2016,80 years and over,10576,5483,5093
692,Daejeon,2016,dead,4011,3178,833
693,Daejeon,2017,Total,394868,217981,176887
694,Daejeon,2017,Under 30 years,7142,4096,3046
695,Daejeon,2017,30-39 Years old,52047,30216,21831
696,Daejeon,2017,40-49 Years old,105453,57063,48390
697,Daejeon,2017,50-59 Years old,104986,56349,48637
698,Daejeon,2017,60-69 Years old,71603,40030,31573
699,Daejeon,2017,70-79 Years old,37610,20800,16810
700,Daejeon,2017,80 years and over,11834,6132,5702
701,Daejeon,2017,dead,4193,3295,898
702,Daejeon,2018,Total,402344,219888,182456
703,Daejeon,2018,Under 30 years,7282,4100,3182
704,Daejeon,2018,30-39 Years old,51337,29993,21344
705,Daejeon,2018,40-49 Years old,103574,55868,47706
706,Daejeon,2018,50-59 Years old,107625,56759,50866
707,Daejeon,2018,60-69 Years old,75127,41270,33857
708,Daejeon,2018,70-79 Years old,39704,21652,18052
709,Daejeon,2018,80 years and over,13484,6971,6513
710,Daejeon,2018,dead,4211,3275,936
711,Daejeon,2019,Total,404201,219331,184870
712,Daejeon,2019,Under 30 years,6983,3883,3100
713,Daejeon,2019,30-39 Years old,47835,28041,19794
714,Daejeon,2019,40-49 Years old,100630,54428,46202
715,Daejeon,2019,50-59 Years old,108958,57002,51956
716,Daejeon,2019,60-69 Years old,78809,42453,36356
717,Daejeon,2019,70-79 Years old,41447,22388,19059
718,Daejeon,2019,80 years and over,15119,7745,7374
719,Daejeon,2019,dead,4420,3391,1029
720,Daejeon,2020,Total,410730,220324,190406
721,Daejeon,2020,Under 30 years,7698,4250,3448
722,Daejeon,2020,30-39 Years old,45973,26758,19215
723,Daejeon,2020,40-49 Years old,99515,53625,45890
724,Daejeon,2020,50-59 Years old,109112,56710,52402
725,Daejeon,2020,60-69 Years old,83907,44182,39725
726,Daejeon,2020,70-79 Years old,43716,23235,20481
727,Daejeon,2020,80 years and over,16465,8269,8196
728,Daejeon,2020,dead,4344,3295,1049
729,Daejeon,2021,Total,418833,222952,195881
730,Daejeon,2021,Under 30 years,8595,4671,3924
731,Daejeon,2021,30-39 Years old,44516,26017,18499
732,Daejeon,2021,40-49 Years old,97430,52575,44855
733,Daejeon,2021,50-59 Years old,109965,56792,53173
734,Daejeon,2021,60-69 Years old,90860,47018,43842
735,Daejeon,2021,70-79 Years old,45094,23747,21347
736,Daejeon,2021,80 years and over,18164,8989,9175
737,Daejeon,2021,dead,4209,3143,1066
738,Daejeon,2022,Total,425773,225651,200122
739,Daejeon,2022,Under 30 years,8156,4405,3751
740,Daejeon,2022,30-39 Years old,42432,24843,17589
741,Daejeon,2022,40-49 Years old,96605,52431,44174
742,Daejeon,2022,50-59 Years old,111527,57515,54012
743,Daejeon,2022,60-69 Years old,94747,48493,46254
744,Daejeon,2022,70-79 Years old,46827,24373,22454
745,Daejeon,2022,80 years and over,20784,10167,10617
746,Daejeon,2022,dead,4695,3424,1271
747,Daejeon,2023,Total,433503,229165,204338
748,Daejeon,2023,Under 30 years,7519,4071,3448
749,Daejeon,2023,30-39 Years old,41159,24106,17053
750,Daejeon,2023,40-49 Years old,95104,52190,42914
751,Daejeon,2023,50-59 Years old,114589,58972,55617
752,Daejeon,2023,60-69 Years old,98302,49967,48335
753,Daejeon,2023,70-79 Years old,49248,25439,23809
754,Daejeon,2023,80 years and over,22550,10808,11742
755,Daejeon,2023,dead,5032,3612,1420
756,Ulsan,2012,Total,291434,180908,110526
757,Ulsan,2012,Under 30 years,7736,4667,3069
758,Ulsan,2012,30-39 Years old,55821,34552,21269
759,Ulsan,2012,40-49 Years old,87673,53296,34377
760,Ulsan,2012,50-59 Years old,81521,51670,29851
761,Ulsan,2012,60-69 Years old,37214,23654,13560
762,Ulsan,2012,70-79 Years old,15534,9117,6417
763,Ulsan,2012,80 years and over,2733,1400,1333
764,Ulsan,2012,dead,3202,2552,650
765,Ulsan,2013,Total,301663,185327,116336
766,Ulsan,2013,Under 30 years,6941,4238,2703
767,Ulsan,2013,30-39 Years old,55216,34549,20667
768,Ulsan,2013,40-49 Years old,88415,52554,35861
769,Ulsan,2013,50-59 Years old,86721,54093,32628
770,Ulsan,2013,60-69 Years old,40383,25398,14985
771,Ulsan,2013,70-79 Years old,17378,10170,7208
772,Ulsan,2013,80 years and over,3232,1637,1595
773,Ulsan,2013,dead,3377,2688,689
774,Ulsan,2014,Total,311549,189958,121591
775,Ulsan,2014,Under 30 years,6600,4145,2455
776,Ulsan,2014,30-39 Years old,55767,35277,20490
777,Ulsan,2014,40-49 Years old,90026,52763,37263
778,Ulsan,2014,50-59 Years old,90448,55428,35020
779,Ulsan,2014,60-69 Years old,43346,27133,16213
780,Ulsan,2014,70-79 Years old,18221,10553,7668
781,Ulsan,2014,80 years and over,3520,1783,1737
782,Ulsan,2014,dead,3621,2876,745
783,Ulsan,2015,Total,325450,196542,128908
784,Ulsan,2015,Under 30 years,7345,4668,2677
785,Ulsan,2015,30-39 Years old,57793,37163,20630
786,Ulsan,2015,40-49 Years old,90150,52026,38124
787,Ulsan,2015,50-59 Years old,94702,56912,37790
788,Ulsan,2015,60-69 Years old,48320,29690,18630
789,Ulsan,2015,70-79 Years old,19545,11223,8322
790,Ulsan,2015,80 years and over,4040,2039,2001
791,Ulsan,2015,dead,3555,2821,734
792,Ulsan,2016,Total,331064,198577,132487
793,Ulsan,2016,Under 30 years,6763,4277,2486
794,Ulsan,2016,30-39 Years old,57133,37033,20100
795,Ulsan,2016,40-49 Years old,88427,50614,37813
796,Ulsan,2016,50-59 Years old,97254,57768,39486
797,Ulsan,2016,60-69 Years old,52624,31891,20733
798,Ulsan,2016,70-79 Years old,20530,11762,8768
799,Ulsan,2016,80 years and over,4672,2332,2340
800,Ulsan,2016,dead,3661,2900,761
801,Ulsan,2017,Total,338232,202151,136081
802,Ulsan,2017,Under 30 years,6620,4200,2420
803,Ulsan,2017,30-39 Years old,55865,36496,19369
804,Ulsan,2017,40-49 Years old,88118,50689,37429
805,Ulsan,2017,50-59 Years old,99521,58482,41039
806,Ulsan,2017,60-69 Years old,56785,33937,22848
807,Ulsan,2017,70-79 Years old,22455,12875,9580
808,Ulsan,2017,80 years and over,5251,2632,2619
809,Ulsan,2017,dead,3617,2840,777
810,Ulsan,2018,Total,343884,204605,139279
811,Ulsan,2018,Under 30 years,6484,4095,2389
812,Ulsan,2018,30-39 Years old,54574,35866,18708
813,Ulsan,2018,40-49 Years old,86770,50233,36537
814,Ulsan,2018,50-59 Years old,102061,59217,42844
815,Ulsan,2018,60-69 Years old,60336,35544,24792
816,Ulsan,2018,70-79 Years old,24095,13849,10246
817,Ulsan,2018,80 years and over,5755,2834,2921
818,Ulsan,2018,dead,3809,2967,842
819,Ulsan,2019,Total,351519,208416,143103
820,Ulsan,2019,Under 30 years,5838,3582,2256
821,Ulsan,2019,30-39 Years old,51607,34040,17567
822,Ulsan,2019,40-49 Years old,86443,50513,35930
823,Ulsan,2019,50-59 Years old,104087,59803,44284
824,Ulsan,2019,60-69 Years old,65819,38438,27381
825,Ulsan,2019,70-79 Years old,26645,15361,11284
826,Ulsan,2019,80 years and over,6916,3472,3444
827,Ulsan,2019,dead,4164,3207,957
828,Ulsan,2020,Total,358845,211198,147647
829,Ulsan,2020,Under 30 years,6266,3819,2447
830,Ulsan,2020,30-39 Years old,49085,32367,16718
831,Ulsan,2020,40-49 Years old,87153,51387,35766
832,Ulsan,2020,50-59 Years old,104114,59064,45050
833,Ulsan,2020,60-69 Years old,71695,41197,30498
834,Ulsan,2020,70-79 Years old,28610,16365,12245
835,Ulsan,2020,80 years and over,7854,3920,3934
836,Ulsan,2020,dead,4068,3079,989
837,Ulsan,2021,Total,361641,211574,150067
838,Ulsan,2021,Under 30 years,6334,3878,2456
839,Ulsan,2021,30-39 Years old,45286,29639,15647
840,Ulsan,2021,40-49 Years old,85807,51131,34676
841,Ulsan,2021,50-59 Years old,102864,57874,44990
842,Ulsan,2021,60-69 Years old,77854,44175,33679
843,Ulsan,2021,70-79 Years old,30628,17443,13185
844,Ulsan,2021,80 years and over,8782,4352,4430
845,Ulsan,2021,dead,4086,3082,1004
846,Ulsan,2022,Total,363002,211411,151591
847,Ulsan,2022,Under 30 years,5692,3455,2237
848,Ulsan,2022,30-39 Years old,40966,26874,14092
849,Ulsan,2022,40-49 Years old,84819,51089,33730
850,Ulsan,2022,50-59 Years old,101822,56816,45006
851,Ulsan,2022,60-69 Years old,82197,46296,35901
852,Ulsan,2022,70-79 Years old,33139,18717,14422
853,Ulsan,2022,80 years and over,10226,5072,5154
854,Ulsan,2022,dead,4141,3092,1049
855,Ulsan,2023,Total,364550,211582,152968
856,Ulsan,2023,Under 30 years,4759,2900,1859
857,Ulsan,2023,30-39 Years old,36810,24162,12648
858,Ulsan,2023,40-49 Years old,82728,50406,32322
859,Ulsan,2023,50-59 Years old,101611,56279,45332
860,Ulsan,2023,60-69 Years old,86540,48558,37982
861,Ulsan,2023,70-79 Years old,35819,20129,15690
862,Ulsan,2023,80 years and over,11585,5714,5871
863,Ulsan,2023,dead,4698,3434,1264
864,Sejong,2012,Total,27165,17277,9888
865,Sejong,2012,Under 30 years,515,332,183
866,Sejong,2012,30-39 Years old,4437,2738,1699
867,Sejong,2012,40-49 Years old,6026,3841,2185
868,Sejong,2012,50-59 Years old,6331,3953,2378
869,Sejong,2012,60-69 Years old,4451,2756,1695
870,Sejong,2012,70-79 Years old,3434,2176,1258
871,Sejong,2012,80 years and over,921,567,354
872,Sejong,2012,dead,1050,914,136
873,Sejong,2013,Total,29421,18605,10816
874,Sejong,2013,Under 30 years,522,332,190
875,Sejong,2013,30-39 Years old,4489,2704,1785
876,Sejong,2013,40-49 Years old,6840,4335,2505
877,Sejong,2013,50-59 Years old,6861,4275,2586
878,Sejong,2013,60-69 Years old,4757,2944,1813
879,Sejong,2013,70-79 Years old,3679,2316,1363
880,Sejong,2013,80 years and over,1100,672,428
881,Sejong,2013,dead,1173,1027,146
882,Sejong,2014,Total,33459,20745,12714
883,Sejong,2014,Under 30 years,718,455,263
884,Sejong,2014,30-39 Years old,5462,3244,2218
885,Sejong,2014,40-49 Years old,8656,5393,3263
886,Sejong,2014,50-59 Years old,7531,4556,2975
887,Sejong,2014,60-69 Years old,5014,3062,1952
888,Sejong,2014,70-79 Years old,3711,2278,1433
889,Sejong,2014,80 years and over,1081,630,451
890,Sejong,2014,dead,1286,1127,159
891,Sejong,2015,Total,49659,29836,19823
892,Sejong,2015,Under 30 years,1088,645,443
893,Sejong,2015,30-39 Years old,10896,6363,4533
894,Sejong,2015,40-49 Years old,14642,8919,5723
895,Sejong,2015,50-59 Years old,10360,6014,4346
896,Sejong,2015,60-69 Years old,6340,3760,2580
897,Sejong,2015,70-79 Years old,3869,2356,1513
898,Sejong,2015,80 years and over,1197,679,518
899,Sejong,2015,dead,1267,1100,167
900,Sejong,2016,Total,58322,34585,23737
901,Sejong,2016,Under 30 years,1180,677,503
902,Sejong,2016,30-39 Years old,12708,7529,5179
903,Sejong,2016,40-49 Years old,17907,10751,7156
904,Sejong,2016,50-59 Years old,12040,6832,5208
905,Sejong,2016,60-69 Years old,7664,4403,3261
906,Sejong,2016,70-79 Years old,4119,2439,1680
907,Sejong,2016,80 years and over,1402,810,592
908,Sejong,2016,dead,1302,1144,158
909,Sejong,2017,Total,69759,40737,29022
910,Sejong,2017,Under 30 years,1358,751,607
911,Sejong,2017,30-39 Years old,15073,8753,6320
912,Sejong,2017,40-49 Years old,22006,13042,8964
913,Sejong,2017,50-59 Years old,14480,8099,6381
914,Sejong,2017,60-69 Years old,9177,5205,3972
915,Sejong,2017,70-79 Years old,4656,2742,1914
916,Sejong,2017,80 years and over,1645,947,698
917,Sejong,2017,dead,1364,1198,166
918,Sejong,2018,Total,81225,46831,34394
919,Sejong,2018,Under 30 years,1650,879,771
920,Sejong,2018,30-39 Years old,17609,10190,7419
921,Sejong,2018,40-49 Years old,25735,15056,10679
922,Sejong,2018,50-59 Years old,17179,9488,7691
923,Sejong,2018,60-69 Years old,10749,6026,4723
924,Sejong,2018,70-79 Years old,5072,2915,2157
925,Sejong,2018,80 years and over,1890,1115,775
926,Sejong,2018,dead,1341,1162,179
927,Sejong,2019,Total,87537,50056,37481
928,Sejong,2019,Under 30 years,1566,806,760
929,Sejong,2019,30-39 Years old,17343,10010,7333
930,Sejong,2019,40-49 Years old,28177,16366,11811
931,Sejong,2019,50-59 Years old,19373,10648,8725
932,Sejong,2019,60-69 Years old,12027,6635,5392
933,Sejong,2019,70-79 Years old,5509,3148,2361
934,Sejong,2019,80 years and over,2127,1223,904
935,Sejong,2019,dead,1415,1220,195
936,Sejong,2020,Total,93116,52776,40340
937,Sejong,2020,Under 30 years,1671,859,812
938,Sejong,2020,30-39 Years old,16913,9561,7352
939,Sejong,2020,40-49 Years old,30303,17468,12835
940,Sejong,2020,50-59 Years old,21043,11623,9420
941,Sejong,2020,60-69 Years old,13402,7299,6103
942,Sejong,2020,70-79 Years old,5987,3387,2600
943,Sejong,2020,80 years and over,2292,1300,992
944,Sejong,2020,dead,1505,1279,226
945,Sejong,2021,Total,99104,55730,43374
946,Sejong,2021,Under 30 years,1793,940,853
947,Sejong,2021,30-39 Years old,16371,9169,7202
948,Sejong,2021,40-49 Years old,31995,18298,13697
949,Sejong,2021,50-59 Years old,23097,12788,10309
950,Sejong,2021,60-69 Years old,15471,8312,7159
951,Sejong,2021,70-79 Years old,6277,3513,2764
952,Sejong,2021,80 years and over,2530,1389,1141
953,Sejong,2021,dead,1570,1321,249
954,Sejong,2022,Total,113799,63267,50532
955,Sejong,2022,Under 30 years,2151,1024,1127
956,Sejong,2022,30-39 Years old,19119,10501,8618
957,Sejong,2022,40-49 Years old,36987,20980,16007
958,Sejong,2022,50-59 Years old,26680,14823,11857
959,Sejong,2022,60-69 Years old,17345,9222,8123
960,Sejong,2022,70-79 Years old,7070,3881,3189
961,Sejong,2022,80 years and over,2886,1564,1322
962,Sejong,2022,dead,1561,1272,289
963,Sejong,2023,Total,119296,66130,53166
964,Sejong,2023,Under 30 years,1926,959,967
965,Sejong,2023,30-39 Years old,18889,10335,8554
966,Sejong,2023,40-49 Years old,38697,21788,16909
967,Sejong,2023,50-59 Years old,28982,16218,12764
968,Sejong,2023,60-69 Years old,18633,9834,8799
969,Sejong,2023,70-79 Years old,7539,4108,3431
970,Sejong,2023,80 years and over,3067,1612,1455
971,Sejong,2023,dead,1563,1276,287
972,Gyeonggi-do,2012,Total,2723040,1574029,1149011
973,Gyeonggi-do,2012,Under 30 years,65753,35235,30518
974,Gyeonggi-do,2012,30-39 Years old,503531,292361,211170
975,Gyeonggi-do,2012,40-49 Years old,813424,471653,341771
976,Gyeonggi-do,2012,50-59 Years old,690802,406513,284289
977,Gyeonggi-do,2012,60-69 Years old,366191,208100,158091
978,Gyeonggi-do,2012,70-79 Years old,211918,116478,95440
979,Gyeonggi-do,2012,80 years and over,44647,22986,21661
980,Gyeonggi-do,2012,dead,26774,20703,6071
981,Gyeonggi-do,2013,Total,2816567,1615124,1201443
982,Gyeonggi-do,2013,Under 30 years,59297,31809,27488
983,Gyeonggi-do,2013,30-39 Years old,486727,281969,204758
984,Gyeonggi-do,2013,40-49 Years old,834748,477979,356769
985,Gyeonggi-do,2013,50-59 Years old,737938,429215,308723
986,Gyeonggi-do,2013,60-69 Years old,387244,219433,167811
987,Gyeonggi-do,2013,70-79 Years old,230108,125915,104193
988,Gyeonggi-do,2013,80 years and over,52281,26877,25404
989,Gyeonggi-do,2013,dead,28224,21927,6297
990,Gyeonggi-do,2014,Total,2880735,1639115,1241620
991,Gyeonggi-do,2014,Under 30 years,56222,30106,26116
992,Gyeonggi-do,2014,30-39 Years old,474081,275964,198117
993,Gyeonggi-do,2014,40-49 Years old,851111,482304,368807
994,Gyeonggi-do,2014,50-59 Years old,764786,438104,326682
995,Gyeonggi-do,2014,60-69 Years old,406636,229417,177219
996,Gyeonggi-do,2014,70-79 Years old,239880,130238,109642
997,Gyeonggi-do,2014,80 years and over,58051,29612,28439
998,Gyeonggi-do,2014,dead,29968,23370,6598
999,Gyeonggi-do,2015,Total,2991332,1684388,1306944
1000,Gyeonggi-do,2015,Under 30 years,63488,33968,29520
1001,Gyeonggi-do,2015,30-39 Years old,476065,278319,197746
1002,Gyeonggi-do,2015,40-49 Years old,864535,484546,379989
1003,Gyeonggi-do,2015,50-59 Years old,795506,447214,348292
1004,Gyeonggi-do,2015,60-69 Years old,443792,247687,196105
1005,Gyeonggi-do,2015,70-79 Years old,251371,135648,115723
1006,Gyeonggi-do,2015,80 years and over,66941,33988,32953
1007,Gyeonggi-do,2015,dead,29634,23018,6616
1008,Gyeonggi-do,2016,Total,3069755,1714341,1355414
1009,Gyeonggi-do,2016,Under 30 years,59230,31778,27452
1010,Gyeonggi-do,2016,30-39 Years old,468382,274719,193663
1011,Gyeonggi-do,2016,40-49 Years old,871115,485429,385686
1012,Gyeonggi-do,2016,50-59 Years old,823191,455790,367401
1013,Gyeonggi-do,2016,60-69 Years old,476876,263034,213842
1014,Gyeonggi-do,2016,70-79 Years old,262385,140260,122125
1015,Gyeonggi-do,2016,80 years and over,77242,39010,38232
1016,Gyeonggi-do,2016,dead,31334,24321,7013
1017,Gyeonggi-do,2017,Total,3169606,1760672,1408934
1018,Gyeonggi-do,2017,Under 30 years,60698,32656,28042
1019,Gyeonggi-do,2017,30-39 Years old,465594,274381,191213
1020,Gyeonggi-do,2017,40-49 Years old,884609,493345,391264
1021,Gyeonggi-do,2017,50-59 Years old,850350,463564,386786
1022,Gyeonggi-do,2017,60-69 Years old,508833,278603,230230
1023,Gyeonggi-do,2017,70-79 Years old,280421,149268,131153
1024,Gyeonggi-do,2017,80 years and over,86868,43941,42927
1025,Gyeonggi-do,2017,dead,32233,24914,7319
1026,Gyeonggi-do,2018,Total,3307703,1823763,1483940
1027,Gyeonggi-do,2018,Under 30 years,63450,34062,29388
1028,Gyeonggi-do,2018,30-39 Years old,477730,281349,196381
1029,Gyeonggi-do,2018,40-49 Years old,897411,501193,396218
1030,Gyeonggi-do,2018,50-59 Years old,891234,478096,413138
1031,Gyeonggi-do,2018,60-69 Years old,549564,298135,251429
1032,Gyeonggi-do,2018,70-79 Years old,296854,156216,140638
1033,Gyeonggi-do,2018,80 years and over,98123,49323,48800
1034,Gyeonggi-do,2018,dead,33337,25389,7948
1035,Gyeonggi-do,2019,Total,3454042,1891708,1562334
1036,Gyeonggi-do,2019,Under 30 years,63548,33719,29829
1037,Gyeonggi-do,2019,30-39 Years old,480297,282760,197537
1038,Gyeonggi-do,2019,40-49 Years old,917841,514574,403267
1039,Gyeonggi-do,2019,50-59 Years old,934583,494963,439620
1040,Gyeonggi-do,2019,60-69 Years old,599783,321885,277898
1041,Gyeonggi-do,2019,70-79 Years old,313485,163221,150264
1042,Gyeonggi-do,2019,80 years and over,110996,55267,55729
1043,Gyeonggi-do,2019,dead,33509,25319,8190
1044,Gyeonggi-do,2020,Total,3587339,1949089,1638250
1045,Gyeonggi-do,2020,Under 30 years,69823,37199,32624
1046,Gyeonggi-do,2020,30-39 Years old,469018,274536,194482
1047,Gyeonggi-do,2020,40-49 Years old,934595,525139,409456
1048,Gyeonggi-do,2020,50-59 Years old,964462,505396,459066
1049,Gyeonggi-do,2020,60-69 Years old,662507,350987,311520
1050,Gyeonggi-do,2020,70-79 Years old,329929,170018,159911
1051,Gyeonggi-do,2020,80 years and over,123602,60839,62763
1052,Gyeonggi-do,2020,dead,33403,24975,8428
1053,Gyeonggi-do,2021,Total,3732021,2016017,1716004
1054,Gyeonggi-do,2021,Under 30 years,78637,42068,36569
1055,Gyeonggi-do,2021,30-39 Years old,466687,271092,195595
1056,Gyeonggi-do,2021,40-49 Years old,943905,533634,410271
1057,Gyeonggi-do,2021,50-59 Years old,994709,519227,475482
1058,Gyeonggi-do,2021,60-69 Years old,735621,384727,350894
1059,Gyeonggi-do,2021,70-79 Years old,340720,173635,167085
1060,Gyeonggi-do,2021,80 years and over,138360,67052,71308
1061,Gyeonggi-do,2021,dead,33382,24582,8800
1062,Gyeonggi-do,2022,Total,3815559,2054048,1761511
1063,Gyeonggi-do,2022,Under 30 years,73223,38906,34317
1064,Gyeonggi-do,2022,30-39 Years old,438874,253449,185425
1065,Gyeonggi-do,2022,40-49 Years old,946142,538007,408135
1066,Gyeonggi-do,2022,50-59 Years old,1023090,533944,489146
1067,Gyeonggi-do,2022,60-69 Years old,778984,404733,374251
1068,Gyeonggi-do,2022,70-79 Years old,361105,183132,177973
1069,Gyeonggi-do,2022,80 years and over,156804,74953,81851
1070,Gyeonggi-do,2022,dead,37337,26924,10413
1071,Gyeonggi-do,2023,Total,3944046,2117116,1826930
1072,Gyeonggi-do,2023,Under 30 years,67407,35752,31655
1073,Gyeonggi-do,2023,30-39 Years old,435774,250784,184990
1074,Gyeonggi-do,2023,40-49 Years old,955457,547332,408125
1075,Gyeonggi-do,2023,50-59 Years old,1058810,552486,506324
1076,Gyeonggi-do,2023,60-69 Years old,834396,430957,403439
1077,Gyeonggi-do,2023,70-79 Years old,383115,192808,190307
1078,Gyeonggi-do,2023,80 years and over,172445,80841,91604
1079,Gyeonggi-do,2023,dead,36642,26156,10486
1080,Gangwon State,2012,Total,361897,216477,145420
1081,Gangwon State,2012,Under 30 years,7545,4483,3062
1082,Gangwon State,2012,30-39 Years old,44883,25505,19378
1083,Gangwon State,2012,40-49 Years old,81527,46686,34841
1084,Gangwon State,2012,50-59 Years old,98347,58626,39721
1085,Gangwon State,2012,60-69 Years old,64147,38750,25397
1086,Gangwon State,2012,70-79 Years old,45341,27683,17658
1087,Gangwon State,2012,80 years and over,9844,5770,4074
1088,Gangwon State,2012,dead,10263,8974,1289
1089,Gangwon State,2013,Total,378828,224857,153971
1090,Gangwon State,2013,Under 30 years,6874,4143,2731
1091,Gangwon State,2013,30-39 Years old,43638,24872,18766
1092,Gangwon State,2013,40-49 Years old,83067,47110,35957
1093,Gangwon State,2013,50-59 Years old,103992,61257,42735
1094,Gangwon State,2013,60-69 Years old,68012,40633,27379
1095,Gangwon State,2013,70-79 Years old,50611,30487,20124
1096,Gangwon State,2013,80 years and over,11535,6647,4888
1097,Gangwon State,2013,dead,11099,9708,1391
1098,Gangwon State,2014,Total,384092,226414,157678
1099,Gangwon State,2014,Under 30 years,6469,3996,2473
1100,Gangwon State,2014,30-39 Years old,42167,24253,17914
1101,Gangwon State,2014,40-49 Years old,84058,47228,36830
1102,Gangwon State,2014,50-59 Years old,103694,60167,43527
1103,Gangwon State,2014,60-69 Years old,70346,41727,28619
1104,Gangwon State,2014,70-79 Years old,52489,31225,21264
1105,Gangwon State,2014,80 years and over,12139,6664,5475
1106,Gangwon State,2014,dead,12730,11154,1576
1107,Gangwon State,2015,Total,395250,229969,165281
1108,Gangwon State,2015,Under 30 years,8320,5080,3240
1109,Gangwon State,2015,30-39 Years old,43028,24928,18100
1110,Gangwon State,2015,40-49 Years old,85919,47861,38058
1111,Gangwon State,2015,50-59 Years old,104741,59500,45241
1112,Gangwon State,2015,60-69 Years old,74114,43328,30786
1113,Gangwon State,2015,70-79 Years old,53548,31473,22075
1114,Gangwon State,2015,80 years and over,13590,7341,6249
1115,Gangwon State,2015,dead,11990,10458,1532
1116,Gangwon State,2016,Total,407573,235437,172136
1117,Gangwon State,2016,Under 30 years,7127,4318,2809
1118,Gangwon State,2016,30-39 Years old,42430,24836,17594
1119,Gangwon State,2016,40-49 Years old,85640,47420,38220
1120,Gangwon State,2016,50-59 Years old,107049,59915,47134
1121,Gangwon State,2016,60-69 Years old,80489,46636,33853
1122,Gangwon State,2016,70-79 Years old,55933,32495,23438
1123,Gangwon State,2016,80 years and over,16097,8714,7383
1124,Gangwon State,2016,dead,12808,11103,1705
1125,Gangwon State,2017,Total,416492,239480,177012
1126,Gangwon State,2017,Under 30 years,7078,4270,2808
1127,Gangwon State,2017,30-39 Years old,40809,24112,16697
1128,Gangwon State,2017,40-49 Years old,85455,47214,38241
1129,Gangwon State,2017,50-59 Years old,107196,59107,48089
1130,Gangwon State,2017,60-69 Years old,86022,49631,36391
1131,Gangwon State,2017,70-79 Years old,58470,33765,24705
1132,Gangwon State,2017,80 years and over,18292,10006,8286
1133,Gangwon State,2017,dead,13170,11375,1795
1134,Gangwon State,2018,Total,426399,243015,183384
1135,Gangwon State,2018,Under 30 years,7172,4347,2825
1136,Gangwon State,2018,30-39 Years old,40290,23961,16329
1137,Gangwon State,2018,40-49 Years old,84496,46592,37904
1138,Gangwon State,2018,50-59 Years old,109058,59179,49879
1139,Gangwon State,2018,60-69 Years old,91602,52359,39243
1140,Gangwon State,2018,70-79 Years old,59911,34118,25793
1141,Gangwon State,2018,80 years and over,21177,11652,9525
1142,Gangwon State,2018,dead,12693,10807,1886
