,Province,Year,Age,Total,Male,Female
1314,Chungcheongnam-do,2014,Total,520719,322316,198403
1315,Chungcheongnam-do,2014,Under 30 years,11085,6147,4938
1316,Chungcheongnam-do,2014,30-39 Years old,77567,48543,29024
1317,Chungcheongnam-do,2014,40-49 Years old,118609,69807,48802
1318,Chungcheongnam-do,2014,50-59 Years old,120549,72131,48418
1319,Chungcheongnam-do,2014,60-69 Years old,84480,52511,31969
1320,Chungcheongnam-do,2014,70-79 Years old,64944,39984,24960
1321,Chungcheongnam-do,2014,80 years and over,19922,12094,7828
1322,Chungcheongnam-do,2014,dead,23563,21099,2464
1323,Chungcheongnam-do,2015,Total,533423,325831,207592
1324,Chungcheongnam-do,2015,Under 30 years,13150,7263,5887
1325,Chungcheongnam-do,2015,30-39 Years old,78218,49313,28905
1326,Chungcheongnam-do,2015,40-49 Years old,121537,70906,50631
1327,Chungcheongnam-do,2015,50-59 Years old,123915,72736,51179
1328,Chungcheongnam-do,2015,60-69 Years old,89743,54816,34927
1329,Chungcheongnam-do,2015,70-79 Years old,62858,37999,24859
1330,Chungcheongnam-do,2015,80 years and over,21339,12619,8720
1331,Chungcheongnam-do,2015,dead,22663,20179,2484
1332,Chungcheongnam-do,2016,Total,555471,337002,218469
1333,Chungcheongnam-do,2016,Under 30 years,12596,6995,5601
1334,Chungcheongnam-do,2016,30-39 Years old,81183,51656,29527
1335,Chungcheongnam-do,2016,40-49 Years old,125669,72959,52710
1336,Chungcheongnam-do,2016,50-59 Years old,127612,73452,54160
1337,Chungcheongnam-do,2016,60-69 Years old,96867,58316,38551
1338,Chungcheongnam-do,2016,70-79 Years old,63410,38078,25332
1339,Chungcheongnam-do,2016,80 years and over,24300,14325,9975
1340,Chungcheongnam-do,2016,dead,23834,21221,2613
1341,Chungcheongnam-do,2017,Total,583830,353700,230130
1342,Chungcheongnam-do,2017,Under 30 years,12211,6908,5303
1343,Chungcheongnam-do,2017,30-39 Years old,81758,52178,29580
1344,Chungcheongnam-do,2017,40-49 Years old,129937,75622,54315
1345,Chungcheongnam-do,2017,50-59 Years old,133135,75901,57234
1346,Chungcheongnam-do,2017,60-69 Years old,104125,62414,41711
1347,Chungcheongnam-do,2017,70-79 Years old,69053,41756,27297
1348,Chungcheongnam-do,2017,80 years and over,28819,16934,11885
1349,Chungcheongnam-do,2017,dead,24792,21987,2805
1350,Chungcheongnam-do,2018,Total,604516,362834,241682
1351,Chungcheongnam-do,2018,Under 30 years,12327,7030,5297
1352,Chungcheongnam-do,2018,30-39 Years old,82991,53006,29985
1353,Chungcheongnam-do,2018,40-49 Years old,132395,77372,55023
1354,Chungcheongnam-do,2018,50-59 Years old,139334,78028,61306
1355,Chungcheongnam-do,2018,60-69 Years old,109384,64395,44989
1356,Chungcheongnam-do,2018,70-79 Years old,71518,42822,28696
1357,Chungcheongnam-do,2018,80 years and over,32606,19168,13438
1358,Chungcheongnam-do,2018,dead,23961,21013,2948
1359,Chungcheongnam-do,2019,Total,620151,369603,250548
1360,Chungcheongnam-do,2019,Under 30 years,11941,6776,5165
1361,Chungcheongnam-do,2019,30-39 Years old,81142,51879,29263
1362,Chungcheongnam-do,2019,40-49 Years old,134434,79089,55345
1363,Chungcheongnam-do,2019,50-59 Years old,144477,80032,64445
1364,Chungcheongnam-do,2019,60-69 Years old,114915,66495,48420
1365,Chungcheongnam-do,2019,70-79 Years old,73926,43909,30017
1366,Chungcheongnam-do,2019,80 years and over,35399,20503,14896
1367,Chungcheongnam-do,2019,dead,23917,20920,2997
1368,Chungcheongnam-do,2020,Total,634615,375441,259174
1369,Chungcheongnam-do,2020,Under 30 years,11804,6651,5153
1370,Chungcheongnam-do,2020,30-39 Years old,76220,48674,27546
1371,Chungcheongnam-do,2020,40-49 Years old,136126,80608,55518
1372,Chungcheongnam-do,2020,50-59 Years old,146755,80774,65981
1373,Chungcheongnam-do,2020,60-69 Years old,124144,70659,53485
1374,Chungcheongnam-do,2020,70-79 Years old,77481,45595,31886
1375,Chungcheongnam-do,2020,80 years and over,38008,21576,16432
1376,Chungcheongnam-do,2020,dead,24077,20904,3173
1377,Chungcheongnam-do,2021,Total,646326,379276,267050
1378,Chungcheongnam-do,2021,Under 30 years,12227,6886,5341
1379,Chungcheongnam-do,2021,30-39 Years old,71449,45440,26009
1380,Chungcheongnam-do,2021,40-49 Years old,135863,80955,54908
1381,Chungcheongnam-do,2021,50-59 Years old,148831,81157,67674
1382,Chungcheongnam-do,2021,60-69 Years old,135131,75702,59429
1383,Chungcheongnam-do,2021,70-79 Years old,78814,45860,32954
1384,Chungcheongnam-do,2021,80 years and over,39809,22333,17476
1385,Chungcheongnam-do,2021,dead,24202,20943,3259
1386,Chungcheongnam-do,2022,Total,654084,380654,273430
1387,Chungcheongnam-do,2022,Under 30 years,11383,6418,4965
1388,Chungcheongnam-do,2022,30-39 Years old,66061,41521,24540
1389,Chungcheongnam-do,2022,40-49 Years old,136839,81983,54856
1390,Chungcheongnam-do,2022,50-59 Years old,151587,82299,69288
1391,Chungcheongnam-do,2022,60-69 Years old,141276,77937,63339
1392,Chungcheongnam-do,2022,70-79 Years old,79965,45912,34053
1393,Chungcheongnam-do,2022,80 years and over,42304,23343,18961
1394,Chungcheongnam-do,2022,dead,24669,21241,3428
1395,Chungcheongnam-do,2023,Total,672089,388025,284064
1396,Chungcheongnam-do,2023,Under 30 years,10598,6042,4556
1397,Chungcheongnam-do,2023,30-39 Years old,63598,39664,23934
1398,Chungcheongnam-do,2023,40-49 Years old,137452,82883,54569
1399,Chungcheongnam-do,2023,50-59 Years old,157558,85237,72321
1400,Chungcheongnam-do,2023,60-69 Years old,149798,81575,68223
1401,Chungcheongnam-do,2023,70-79 Years old,83290,47166,36124
1402,Chungcheongnam-do,2023,80 years and over,44704,24013,20691
