,Province,Year,Total number of houses,House owned by ordinary households,Total number of apartments, Apartments owned by ordinary households
85,Gyeonggi-do,2019,4354776,3724077,3021258,2494568
86,Gyeonggi-do,2020,4495115,3825263,3146667,2586868
87,Gyeonggi-do,2021,4608126,3922705,3254817,2680489
88,Gyeonggi-do,2022,4725372,3992555,3358597,2743861
89,Gyeonggi-do,2023,4859873,4107388,3477378,2847281
90,Gangwon,2015,569899,460550,297005,223162
91,Gangwon,2016,575967,476210,300788,228402
92,Gangwon,2017,586383,489427,307839,234774
93,Gangwon,2018,603644,501687,322796,244480
94,Gangwon,2019,627376,518922,346389,260819
95,Gangwon,2020,644023,534976,360950,274564
96,Gangwon,2021,654719,548185,370287,286047
97,Gangwon,2022,665631,559442,379372,296340
98,Gangwon,2023,674829,567582,387357,301084
99,Chungcheongbuk-do,2015,556951,455574,308352,245734
100,Chungcheongbuk-do,2016,568567,475560,316851,252732
101,Chungcheongbuk-do,2017,581855,499075,327319,262372
102,Chungcheongbuk-do,2018,607686,511027,351577,276250
103,Chungcheongbuk-do,2019,625957,528662,369668,290653
104,Chungcheongbuk-do,2020,640256,541017,383130,300974
105,Chungcheongbuk-do,2021,650224,550515,392988,309205
106,Chungcheongbuk-do,2022,659293,557263,400844,315938
107,Chungcheongbuk-do,2023,673539,567193,414551,324292
108,Chungcheongnam-do,2015,754372,618780,382323,302788
109,Chungcheongnam-do,2016,776746,648659,402808,324493
110,Chungcheongnam-do,2017,805555,686505,426251,344374
111,Chungcheongnam-do,2018,835752,710505,453830,365819
112,Chungcheongnam-do,2019,850525,728188,467790,382704
113,Chungcheongnam-do,2020,865008,738456,481332,391361
114,Chungcheongnam-do,2021,874666,747832,490513,398932
115,Chungcheongnam-do,2022,894935,751259,510531,408325
116,Chungcheongnam-do,2023,925749,769377,540689,422270
117,Jeollabuk-do,2015,687103,556747,364712,295622
118,Jeollabuk-do,2016,692563,563206,370071,299059
119,Jeollabuk-do,2017,698264,587414,374491,305836
120,Jeollabuk-do,2018,712850,599033,389225,316213
121,Jeollabuk-do,2019,724524,609159,401005,325230
122,Jeollabuk-do,2020,741221,618177,416861,332691
123,Jeollabuk-do,2021,747880,625663,424658,340009
124,Jeollabuk-do,2022,755382,622799,432466,343033
125,Jeollabuk-do,2023,765051,636004,443907,353938
126,Jeollanam-do,2015,747621,561844,306661,204715
127,Jeollanam-do,2016,755044,577502,316137,213203
128,Jeollanam-do,2017,766231,606128,324257,220963
129,Jeollanam-do,2018,777966,610715,335966,231382
130,Jeollanam-do,2019,787816,629635,346990,240274
131,Jeollanam-do,2020,802043,643892,359690,251776
132,Jeollanam-do,2021,811478,657510,369551,264023
133,Jeollanam-do,2022,824065,660598,381917,272300
134,Jeollanam-do,2023,835004,675685,392551,282085
135,Gyeongsangbuk-do,2015,995385,833130,449154,354669
136,Gyeongsangbuk-do,2016,1009941,855495,461577,372536
137,Gyeongsangbuk-do,2017,1038274,895585,485196,393372
138,Gyeongsangbuk-do,2018,1060505,920796,507230,417352
139,Gyeongsangbuk-do,2019,1081216,937206,529133,433919
140,Gyeongsangbuk-do,2020,1094306,949301,541246,444103
141,Gyeongsangbuk-do,2021,1103666,967125,551145,459965
142,Gyeongsangbuk-do,2022,1108186,969289,555358,463821
143,Gyeongsangbuk-do,2023,1106957,971187,564089,470713
144,Gyeongsangnam-do,2015,1134738,990585,641589,551367
145,Gyeongsangnam-do,2016,1151057,1021436,654679,571851
146,Gyeongsangnam-do,2017,1193912,1070485,694326,604003
147,Gyeongsangnam-do,2018,1226708,1098467,726589,630346
148,Gyeongsangnam-do,2019,1266739,1128065,767442,658400
149,Gyeongsangnam-do,2020,1296944,1148689,797850,678742
150,Gyeongsangnam-do,2021,1306263,1167226,807613,696582
151,Gyeongsangnam-do,2022,1311971,1172943,814296,705174
152,Gyeongsangnam-do,2023,1321044,1182067,823074,710917
153,Jeju,2015,195224,169674,62532,47825
154,Jeju,2016,206874,180854,65567,50099
155,Jeju,2017,221140,192530,70112,53243
156,Jeju,2018,233068,200587,74199,55842
157,Jeju,2019,241788,206991,76495,57438
158,Jeju,2020,246451,210286,78136,58325
159,Jeju,2021,249629,214900,79366,60060
160,Jeju,2022,252863,218507,80045,61192
161,Jeju,2023,257878,222794,81519,62088
