"Province","Year","Age",Total,Male,Female
"Whole country","2019","40-49 Years old",3316628,1831187,1485441
"Whole country","2019","50-59 Years old",3689400,1936430,1752970
"Whole country","2019","60-69 Years old",2799643,1518678,1280965
"Whole country","2019","70-79 Years old",1612620,881862,730758
"Whole country","2019","80 years and over",598223,313984,284239
"Whole country","2019","dead",327298,269147,58151
"Whole country","2020","Total",14696617,8055345,6641272
"Whole country","2020","Under 30 years",265312,144581,120731
"Whole country","2020","30-39 Years old",1680384,993113,687271
"Whole country","2020","40-49 Years old",3337805,1848890,1488915
"Whole country","2020","50-59 Years old",3735459,1944969,1790490
"Whole country","2020","60-69 Years old",3011572,1606968,1404604
"Whole country","2020","70-79 Years old",1680030,908455,771575
"Whole country","2020","80 years and over",658604,340544,318060
"Whole country","2020","dead",327451,267825,59626
"Whole country","2021","Total",15089160,8205832,6883328
"Whole country","2021","Under 30 years",291496,158053,133443
"Whole country","2021","30-39 Years old",1646737,966521,680216
"Whole country","2021","40-49 Years old",3335444,1857714,1477730
"Whole country","2021","50-59 Years old",3793303,1964907,1828396
"Whole country","2021","60-69 Years old",3256053,1710826,1545227
"Whole country","2021","70-79 Years old",1722827,919664,803163
"Whole country","2021","80 years and over",723771,369045,354726
"Whole country","2021","dead",319529,259102,60427
"Whole country","2022","Total",15309392,8280854,7028538
"Whole country","2022","Under 30 years",274062,147709,126353
"Whole country","2022","30-39 Years old",1541372,900822,640550
"Whole country","2022","40-49 Years old",3324304,1862073,1462231
"Whole country","2022","50-59 Years old",3851520,1992505,1859015
"Whole country","2022","60-69 Years old",3386411,1761125,1625286
"Whole country","2022","70-79 Years old",1794585,947437,847148
"Whole country","2022","80 years and over",808358,406519,401839
"Whole country","2022","dead",328780,262664,66116
"Whole country","2023","Total",15618261,8408927,7209334
"Whole country","2023","Under 30 years",251544,135381,116163
"Whole country","2023","30-39 Years old",1479689,862849,616840
"Whole country","2023","40-49 Years old",3305362,1866321,1439041
"Whole country","2023","50-59 Years old",3938164,2034884,1903280
"Whole country","2023","60-69 Years old",3553549,1833085,1720464
"Whole country","2023","70-79 Years old",1880330,981261,899069
"Whole country","2023","80 years and over",879875,434080,445795
"Whole country","2023","dead",329748,261066,68682
"Seoul","2012","Total",2286639,1279363,1007276
"Seoul","2012","Under 30 years",56359,29962,26397
"Seoul","2012","30-39 Years old",373082,208947,164135
"Seoul","2012","40-49 Years old",572673,315961,256712
"Seoul","2012","50-59 Years old",600690,330606,270084
"Seoul","2012","60-69 Years old",403231,233455,169776
"Seoul","2012","70-79 Years old",215806,123630,92176
"Seoul","2012","80 years and over",45835,22829,23006
"Seoul","2012","dead",18963,13973,4990
"Seoul","2013","Total",2306750,1280274,1026476
"Seoul","2013","Under 30 years",48686,25746,22940
"Seoul","2013","30-39 Years old",349106,194964,154142
"Seoul","2013","40-49 Years old",577806,315927,261879
"Seoul","2013","50-59 Years old",610404,331905,278499
"Seoul","2013","60-69 Years old",414937,237187,177750
"Seoul","2013","70-79 Years old",234031,134136,99895
"Seoul","2013","80 years and over",52273,26041,26232
"Seoul","2013","dead",19507,14368,5139
"Seoul","2014","Total",2343420,1288868,1054552
"Seoul","2014","Under 30 years",44964,23712,21252
"Seoul","2014","30-39 Years old",334215,186613,147602
"Seoul","2014","40-49 Years old",586890,318378,268512
"Seoul","2014","50-59 Years old",617810,330607,287203
"Seoul","2014","60-69 Years old",432347,243880,188467
"Seoul","2014","70-79 Years old",249074,141849,107225
"Seoul","2014","80 years and over",57687,28773,28914
"Seoul","2014","dead",20433,15056,5377
"Seoul","2015","Total",2386284,1297000,1089284
"Seoul","2015","Under 30 years",48876,25421,23455
"Seoul","2015","30-39 Years old",329574,184080,145494
"Seoul","2015","40-49 Years old",588654,315886,272768
"Seoul","2015","50-59 Years old",615893,323461,292432
"Seoul","2015","60-69 Years old",456428,252657,203771
"Seoul","2015","70-79 Years old",260688,147577,113111
"Seoul","2015","80 years and over",65969,33125,32844
"Seoul","2015","dead",20202,14793,5409
"Seoul","2016","Total",2412355,1296509,1115846
"Seoul","2016","Under 30 years",46637,24211,22426
"Seoul","2016","30-39 Years old",324762,181221,143541
"Seoul","2016","40-49 Years old",589865,313431,276434
"Seoul","2016","50-59 Years old",614204,317841,296363
"Seoul","2016","60-69 Years old",473306,257146,216160
"Seoul","2016","70-79 Years old",269801,150743,119058
"Seoul","2016","80 years and over",73479,37051,36428
"Seoul","2016","dead",20301,14865,5436
"Seoul","2017","Total",2436182,1295024,1141158
"Seoul","2017","Under 30 years",47814,24615,23199
"Seoul","2017","30-39 Years old",321360,178526,142834
"Seoul","2017","40-49 Years old",587296,310785,276511
"Seoul","2017","50-59 Years old",609218,310258,298960
"Seoul","2017","60-69 Years old",483441,258073,225368
"Seoul","2017","70-79 Years old",284739,156554,128185
"Seoul","2017","80 years and over",81899,41410,40489
"Seoul","2017","dead",20415,14803,5612
"Seoul","2018","Total",2459986,1295775,1164211
"Seoul","2018","Under 30 years",48966,25008,23958
"Seoul","2018","30-39 Years old",317621,175648,141973
"Seoul","2018","40-49 Years old",577124,304726,272398
"Seoul","2018","50-59 Years old",611847,308204,303643
"Seoul","2018","60-69 Years old",495253,259772,235481
"Seoul","2018","70-79 Years old",297209,161201,136008
"Seoul","2018","80 years and over",91093,46163,44930
"Seoul","2018","dead",20873,15053,5820
"Seoul","2019","Total",2483492,1297708,1185784
"Seoul","2019","Under 30 years",47364,24017,23347
"Seoul","2019","30-39 Years old",300102,164563,135539
"Seoul","2019","40-49 Years old",569096,300689,268407
"Seoul","2019","50-59 Years old",617201,309076,308125
"Seoul","2019","60-69 Years old",514797,265841,248956
"Seoul","2019","70-79 Years old",311186,166491,144695
"Seoul","2019","80 years and over",102982,52244,50738
"Seoul","2019","dead",20764,14787,5977
"Seoul","2020","Total",2536442,1314345,1222097
"Seoul","2020","Under 30 years",52860,26566,26294
"Seoul","2020","30-39 Years old",298270,161985,136285
"Seoul","2020","40-49 Years old",566321,298888,267433
"Seoul","2020","50-59 Years old",621708,310376,311332
"Seoul","2020","60-69 Years old",540208,274197,266011
"Seoul","2020","70-79 Years old",322830,170555,152275
"Seoul","2020","80 years and over",114439,57715,56724
"Seoul","2020","dead",19806,14063,5743
"Seoul","2021","Total",2602070,1340027,1262043
"Seoul","2021","Under 30 years",59226,29402,29824
"Seoul","2021","30-39 Years old",300627,161133,139494
"Seoul","2021","40-49 Years old",564074,298662,265412
"Seoul","2021","50-59 Years old",631377,315632,315745
"Seoul","2021","60-69 Years old",570582,285677,284905
"Seoul","2021","70-79 Years old",328358,171093,157265
"Seoul","2021","80 years and over",127834,64419,63415
"Seoul","2021","dead",19992,14009,5983
"Seoul","2022","Total",2628669,1346726,1281943
"Seoul","2022","Under 30 years",56660,28019,28641
"Seoul","2022","30-39 Years old",281475,149501,131974
"Seoul","2022","40-49 Years old",559966,297019,262947
"Seoul","2022","50-59 Years old",641604,321544,320060
"Seoul","2022","60-69 Years old",580581,287592,292989
"Seoul","2022","70-79 Years old",340628,174971,165657
"Seoul","2022","80 years and over",146204,73157,73047
"Seoul","2022","dead",21551,14923,6628
"Seoul","2023","Total",2643465,1348979,1294486
"Seoul","2023","Under 30 years",51824,25655,26169
"Seoul","2023","30-39 Years old",262277,138474,123803
"Seoul","2023","40-49 Years old",550483,293063,257420
"Seoul","2023","50-59 Years old",650148,326481,323667
"Seoul","2023","60-69 Years old",593517,291916,301601
"Seoul","2023","70-79 Years old",353318,179346,173972
"Seoul","2023","80 years and over",160972,79709,81263
"Seoul","2023","dead",20926,14335,6591
"Busan","2012","Total",874492,487550,386942
"Busan","2012","Under 30 years",19094,10215,8879
"Busan","2012","30-39 Years old",126565,70752,55813
"Busan","2012","40-49 Years old",203909,107822,96087
"Busan","2012","50-59 Years old",249395,136761,112634
"Busan","2012","60-69 Years old",163349,95909,67440
"Busan","2012","70-79 Years old",82635,47211,35424
"Busan","2012","80 years and over",15379,7841,7538
"Busan","2012","dead",14166,11039,3127
"Busan","2013","Total",909885,502201,407684
"Busan","2013","Under 30 years",17269,9284,7985
"Busan","2013","30-39 Years old",123796,69445,54351
"Busan","2013","40-49 Years old",206055,108133,97922
"Busan","2013","50-59 Years old",259126,139457,119669
"Busan","2013","60-69 Years old",174590,100751,73839
"Busan","2013","70-79 Years old",95219,53960,41259
"Busan","2013","80 years and over",18793,9474,9319
"Busan","2013","dead",15037,11697,3340
"Busan","2014","Total",923056,504054,419002
"Busan","2014","Under 30 years",16180,8839,7341
"Busan","2014","30-39 Years old",121996,68918,53078
"Busan","2014","40-49 Years old",208578,108603,99975
"Busan","2014","50-59 Years old",257764,135487,122277
"Busan","2014","60-69 Years old",181462,102749,78713
"Busan","2014","70-79 Years old",100365,56597,43768
"Busan","2014","80 years and over",20616,10340,10276
"Busan","2014","dead",16095,12521,3574
"Busan","2015","Total",950203,511698,438505
"Busan","2015","Under 30 years",17804,9550,8254
"Busan","2015","30-39 Years old",122574,69657,52917
"Busan","2015","40-49 Years old",211192,109358,101834
"Busan","2015","50-59 Years old",256893,131664,125229
"Busan","2015","60-69 Years old",196100,108358,87742
"Busan","2015","70-79 Years old",105793,59005,46788
"Busan","2015","80 years and over",24128,12009,12119
"Busan","2015","dead",15719,12097,3622
"Busan","2016","Total",959418,510334,449084
"Busan","2016","Under 30 years",16970,9119,7851
"Busan","2016","30-39 Years old",121982,69615,52367
"Busan","2016","40-49 Years old",210121,108339,101782
"Busan","2016","50-59 Years old",254641,127638,127003
"Busan","2016","60-69 Years old",205148,110601,94547
"Busan","2016","70-79 Years old",107689,59515,48174
"Busan","2016","80 years and over",27157,13486,13671
"Busan","2016","dead",15710,12021,3689
"Busan","2017","Total",973593,513794,459799
"Busan","2017","Under 30 years",16588,8943,7645
"Busan","2017","30-39 Years old",118460,67807,50653
"Busan","2017","40-49 Years old",208817,108278,100539
"Busan","2017","50-59 Years old",252548,124583,127965
"Busan","2017","60-69 Years old",214267,113463,100804
"Busan","2017","70-79 Years old",115600,62949,52651
"Busan","2017","80 years and over",30924,15343,15581
"Busan","2017","dead",16389,12428,3961
"Busan","2018","Total",980424,513980,466444
"Busan","2018","Under 30 years",15375,8256,7119
"Busan","2018","30-39 Years old",112119,64299,47820
"Busan","2018","40-49 Years old",205127,107292,97835
"Busan","2018","50-59 Years old",251782,122656,129126
"Busan","2018","60-69 Years old",220893,115030,105863
"Busan","2018","70-79 Years old",122835,66139,56696
"Busan","2018","80 years and over",34926,17292,17634
"Busan","2018","dead",17367,13016,4351
"Busan","2019","Total",986976,513969,473007
"Busan","2019","Under 30 years",14107,7540,6567
"Busan","2019","30-39 Years old",103194,59229,43965
"Busan","2019","40-49 Years old",202929,107312,95617
"Busan","2019","50-59 Years old",249838,120493,129345
"Busan","2019","60-69 Years old",229175,117257,111918
"Busan","2019","70-79 Years old",129547,68812,60735
"Busan","2019","80 years and over",39629,19555,20074
"Busan","2019","dead",18557,13771,4786
"Busan","2020","Total",1001906,517709,484197
"Busan","2020","Under 30 years",14337,7584,6753
"Busan","2020","30-39 Years old",97286,55816,41470
"Busan","2020","40-49 Years old",204662,109114,95548
"Busan","2020","50-59 Years old",246238,118233,128005
"Busan","2020","60-69 Years old",240931,120480,120451
"Busan","2020","70-79 Years old",135123,70788,64335
"Busan","2020","80 years and over",44323,21698,22625
"Busan","2020","dead",19006,13996,5010
"Busan","2021","Total",1019096,521484,497612
"Busan","2021","Under 30 years",16372,8591,7781
"Busan","2021","30-39 Years old",94141,53624,40517
"Busan","2021","40-49 Years old",204191,109591,94600
"Busan","2021","50-59 Years old",243735,116743,126992
"Busan","2021","60-69 Years old",253198,123668,129530
"Busan","2021","70-79 Years old",139640,71886,67754
"Busan","2021","80 years and over",49490,23914,25576
"Busan","2021","dead",18329,13467,4862
"Busan","2022","Total",1030185,524025,506160
"Busan","2022","Under 30 years",15960,8355,7605
"Busan","2022","30-39 Years old",88663,50476,38187
"Busan","2022","40-49 Years old",201989,109144,92845
"Busan","2022","50-59 Years old",242329,116514,125815
"Busan","2022","60-69 Years old",258354,124068,134286
"Busan","2022","70-79 Years old",146791,74223,72568
"Busan","2022","80 years and over",56513,27036,29477
"Busan","2022","dead",19586,14209,5377
"Busan","2023","Total",1051261,531965,519296
"Busan","2023","Under 30 years",14460,7551,6909
"Busan","2023","30-39 Years old",84989,48460,36529
"Busan","2023","40-49 Years old",202455,110302,92153
"Busan","2023","50-59 Years old",245421,118460,126961
"Busan","2023","60-69 Years old",266290,126459,139831
"Busan","2023","70-79 Years old",154637,76696,77941
"Busan","2023","80 years and over",63039,29769,33270
"Busan","2023","dead",19970,14268,5702
"Daegu","2012","Total",594293,342198,252095
"Daegu","2012","Under 30 years",11641,6685,4956
"Daegu","2012","30-39 Years old",90101,51947,38154
"Daegu","2012","40-49 Years old",159545,88828,70717
"Daegu","2012","50-59 Years old",159789,91654,68135
"Daegu","2012","60-69 Years old",98363,58231,40132
"Daegu","2012","70-79 Years old",55576,32140,23436
"Daegu","2012","80 years and over",11170,6156,5014
"Daegu","2012","dead",8108,6557,1551
"Daegu","2013","Total",611890,348109,263781
"Daegu","2013","Under 30 years",10947,6333,4614
"Daegu","2013","30-39 Years old",89773,51842,37931
"Daegu","2013","40-49 Years old",161476,88556,72920
"Daegu","2013","50-59 Years old",164894,92935,71959
"Daegu","2013","60-69 Years old",102672,59659,43013
"Daegu","2013","70-79 Years old",60641,34864,25777
"Daegu","2013","80 years and over",13013,7072,5941
"Daegu","2013","dead",8474,6848,1626
"Daegu","2014","Total",623401,350796,272605
"Daegu","2014","Under 30 years",10214,5983,4231
"Daegu","2014","30-39 Years old",87882,51107,36775
"Daegu","2014","40-49 Years old",163950,89026,74924
"Daegu","2014","50-59 Years old",169137,93462,75675
"Daegu","2014","60-69 Years old",106520,60981,45539
"Daegu","2014","70-79 Years old",62886,35666,27220
"Daegu","2014","80 years and over",13919,7374,6545
"Daegu","2014","dead",8893,7197,1696
"Daegu","2015","Total",639235,356387,282848
"Daegu","2015","Under 30 years",10979,6389,4590
"Daegu","2015","30-39 Years old",85017,49670,35347
"Daegu","2015","40-49 Years old",163718,88440,75278
"Daegu","2015","50-59 Years old",172457,93603,78854
"Daegu","2015","60-69 Years old",115349,65041,50308
"Daegu","2015","70-79 Years old",65519,36790,28729
"Daegu","2015","80 years and over",16574,8704,7870
"Daegu","2015","dead",9622,7750,1872
"Daegu","2016","Total",653026,360678,292348
"Daegu","2016","Under 30 years",10384,6098,4286
"Daegu","2016","30-39 Years old",84104,49602,34502
"Daegu","2016","40-49 Years old",164066,88296,75770
"Daegu","2016","50-59 Years old",175563,93682,81881
"Daegu","2016","60-69 Years old",123203,68178,55025
"Daegu","2016","70-79 Years old",66796,37023,29773
"Daegu","2016","80 years and over",19040,9935,9105
"Daegu","2016","dead",9870,7864,2006
"Daegu","2017","Total",671684,367859,303825
"Daegu","2017","Under 30 years",10968,6482,4486
"Daegu","2017","30-39 Years old",84329,50277,34052
"Daegu","2017","40-49 Years old",165173,88844,76329
"Daegu","2017","50-59 Years old",179524,94078,85446
"Daegu","2017","60-69 Years old",129745,70689,59056
"Daegu","2017","70-79 Years old",70855,38752,32103
"Daegu","2017","80 years and over",21476,11096,10380
"Daegu","2017","dead",9614,7641,1973
"Daegu","2018","Total",683423,371500,311923
"Daegu","2018","Under 30 years",11174,6478,4696
"Daegu","2018","30-39 Years old",83708,50289,33419
"Daegu","2018","40-49 Years old",162038,87371,74667
"Daegu","2018","50-59 Years old",184010,95029,88981
"Daegu","2018","60-69 Years old",133976,71916,62060
"Daegu","2018","70-79 Years old",74500,40135,34365
"Daegu","2018","80 years and over",24030,12437,11593
"Daegu","2018","dead",9987,7845,2142
"Daegu","2019","Total",690770,371768,319002
"Daegu","2019","Under 30 years",10932,6286,4646
"Daegu","2019","30-39 Years old",79337,48012,31325
"Daegu","2019","40-49 Years old",159955,86421,73534
"Daegu","2019","50-59 Years old",185774,94628,91146
"Daegu","2019","60-69 Years old",139873,73625,66248
"Daegu","2019","70-79 Years old",78287,41514,36773
"Daegu","2019","80 years and over",27019,13809,13210
"Daegu","2019","dead",9593,7473,2120
"Daegu","2020","Total",698114,372185,325929
"Daegu","2020","Under 30 years",10879,6185,4694
"Daegu","2020","30-39 Years old",73946,44947,28999
"Daegu","2020","40-49 Years old",157668,85564,72104
"Daegu","2020","50-59 Years old",186209,93844,92365
"Daegu","2020","60-69 Years old",148216,76354,71862
"Daegu","2020","70-79 Years old",81304,42638,38666
"Daegu","2020","80 years and over",29957,15013,14944
"Daegu","2020","dead",9935,7640,2295
"Daegu","2021","Total",709100,375286,333814
"Daegu","2021","Under 30 years",11501,6488,5013
"Daegu","2021","30-39 Years old",70239,42795,27444
"Daegu","2021","40-49 Years old",155283,84875,70408
"Daegu","2021","50-59 Years old",186623,93572,93051
"Daegu","2021","60-69 Years old",158022,80038,77984
"Daegu","2021","70-79 Years old",83923,43418,40505
"Daegu","2021","80 years and over",33459,16442,17017
"Daegu","2021","dead",10050,7658,2392
"Daegu","2022","Total",717264,377734,339530
"Daegu","2022","Under 30 years",10505,5896,4609
"Daegu","2022","30-39 Years old",65316,39910,25406
"Daegu","2022","40-49 Years old",153519,84717,68802
"Daegu","2022","50-59 Years old",187803,94115,93688
"Daegu","2022","60-69 Years old",162878,81597,81281
"Daegu","2022","70-79 Years old",88265,44872,43393
"Daegu","2022","80 years and over",37956,18448,19508
"Daegu","2022","dead",11022,8179,2843
"Daegu","2023","Total",740776,389746,351030
"Daegu","2023","Under 30 years",9802,5432,4370
"Daegu","2023","30-39 Years old",63134,38900,24234
"Daegu","2023","40-49 Years old",151492,84645,66847
"Daegu","2023","50-59 Years old",192717,96595,96122
"Daegu","2023","60-69 Years old",172354,85949,86405
"Daegu","2023","70-79 Years old",94915,47632,47283
"Daegu","2023","80 years and over",43420,20956,22464
"Daegu","2023","dead",12942,9637,3305
"Incheon","2012","Total",677829,387338,290491
"Incheon","2012","Under 30 years",20233,10597,9636
"Incheon","2012","30-39 Years old",123261,72587,50674
"Incheon","2012","40-49 Years old",189263,106825,82438
"Incheon","2012","50-59 Years old",181695,104236,77459
"Incheon","2012","60-69 Years old",93734,53892,39842
"Incheon","2012","70-79 Years old",50054,26995,23059
"Incheon","2012","80 years and over",10920,5503,5417
"Incheon","2012","dead",8669,6703,1966
"Incheon","2013","Total",695488,394998,300490
"Incheon","2013","Under 30 years",17369,9122,8247
"Incheon","2013","30-39 Years old",118060,69695,48365
"Incheon","2013","40-49 Years old",190686,106835,83851
"Incheon","2013","50-59 Years old",192363,109157,83206
"Incheon","2013","60-69 Years old",99380,56770,42610
"Incheon","2013","70-79 Years old",55548,30009,25539
"Incheon","2013","80 years and over",13074,6437,6637
"Incheon","2013","dead",9008,6973,2035
"Incheon","2014","Total",709536,398844,310692
"Incheon","2014","Under 30 years",16256,8608,7648
"Incheon","2014","30-39 Years old",115609,68345,47264
"Incheon","2014","40-49 Years old",192712,107014,85698
"Incheon","2014","50-59 Years old",198227,110335,87892
"Incheon","2014","60-69 Years old",104903,59145,45758
"Incheon","2014","70-79 Years old",58255,31297,26958
"Incheon","2014","80 years and over",14116,6762,7354
"Incheon","2014","dead",9458,7338,2120
"Incheon","2015","Total",732615,407800,324815
"Incheon","2015","Under 30 years",17631,9343,8288
"Incheon","2015","30-39 Years old",116952,69416,47536
"Incheon","2015","40-49 Years old",193975,107129,86846
"Incheon","2015","50-59 Years old",204251,111512,92739
"Incheon","2015","60-69 Years old",114070,63318,50752
"Incheon","2015","70-79 Years old",60669,32359,28310
"Incheon","2015","80 years and over",16044,7717,8327
"Incheon","2015","dead",9023,7006,2017
"Incheon","2016","Total",746413,412015,334398
"Incheon","2016","Under 30 years",16665,8825,7840
"Incheon","2016","30-39 Years old",114762,68323,46439
"Incheon","2016","40-49 Years old",193511,106573,86938
"Incheon","2016","50-59 Years old",208113,111955,96158
"Incheon","2016","60-69 Years old",122140,66787,55353
"Incheon","2016","70-79 Years old",63441,33542,29899
"Incheon","2016","80 years and over",18449,8819,9630
"Incheon","2016","dead",9332,7191,2141
"Incheon","2017","Total",763252,417893,345359
"Incheon","2017","Under 30 years",16933,8882,8051
"Incheon","2017","30-39 Years old",112201,66904,45297
"Incheon","2017","40-49 Years old",194828,107368,87460
"Incheon","2017","50-59 Years old",212142,112254,99888
"Incheon","2017","60-69 Years old",129848,70196,59652
"Incheon","2017","70-79 Years old",68012,35700,32312
"Incheon","2017","80 years and over",20326,9706,10620
"Incheon","2017","dead",8962,6883,2079
"Incheon","2018","Total",780533,424105,356428
"Incheon","2018","Under 30 years",16910,8891,8019
"Incheon","2018","30-39 Years old",110551,65714,44837
"Incheon","2018","40-49 Years old",193674,107261,86413
"Incheon","2018","50-59 Years old",217411,113236,104175
"Incheon","2018","60-69 Years old",138325,73733,64592
"Incheon","2018","70-79 Years old",71445,37268,34177
"Incheon","2018","80 years and over",22881,10916,11965
"Incheon","2018","dead",9336,7086,2250
"Incheon","2019","Total",791488,427231,364257
"Incheon","2019","Under 30 years",15939,8310,7629
"Incheon","2019","30-39 Years old",104222,61754,42468
"Incheon","2019","40-49 Years old",192116,107171,84945
"Incheon","2019","50-59 Years old",220468,113625,106843
"Incheon","2019","60-69 Years old",148165,78043,70122
"Incheon","2019","70-79 Years old",75393,39077,36316
"Incheon","2019","80 years and over",25610,12084,13526
"Incheon","2019","dead",9575,7167,2408
"Incheon","2020","Total",803261,430338,372923
"Incheon","2020","Under 30 years",16330,8495,7835
"Incheon","2020","30-39 Years old",97222,57320,39902
"Incheon","2020","40-49 Years old",191658,107703,83955
"Incheon","2020","50-59 Years old",220019,112470,107549
"Incheon","2020","60-69 Years old",161266,83588,77678
"Incheon","2020","70-79 Years old",79230,40669,38561
"Incheon","2020","80 years and over",28088,13067,15021
"Incheon","2020","dead",9448,7026,2422
"Incheon","2021","Total",822999,438763,384236
"Incheon","2021","Under 30 years",18115,9502,8613
"Incheon","2021","30-39 Years old",94080,55353,38727
"Incheon","2021","40-49 Years old",190933,108199,82734
"Incheon","2021","50-59 Years old",220809,112511,108298
"Incheon","2021","60-69 Years old",177680,91095,86585
"Incheon","2021","70-79 Years old",81344,41228,40116
"Incheon","2021","80 years and over",31068,14273,16795
"Incheon","2021","dead",8970,6602,2368
"Incheon","2022","Total",839794,446044,393750
"Incheon","2022","Under 30 years",16719,8721,7998
"Incheon","2022","30-39 Years old",88634,51802,36832
"Incheon","2022","40-49 Years old",191443,109296,82147
"Incheon","2022","50-59 Years old",223227,113851,109376
"Incheon","2022","60-69 Years old",188317,95724,92593
"Incheon","2022","70-79 Years old",86226,43547,42679
"Incheon","2022","80 years and over",35294,15958,19336
"Incheon","2022","dead",9934,7145,2789
"Incheon","2023","Total",864282,458051,406231
"Incheon","2023","Under 30 years",14735,7692,7043
"Incheon","2023","30-39 Years old",86757,50468,36289
"Incheon","2023","40-49 Years old",192496,111156,81340
"Incheon","2023","50-59 Years old",226962,115789,111173
"Incheon","2023","60-69 Years old",201176,101431,99745
"Incheon","2023","70-79 Years old",91216,45793,45423
"Incheon","2023","80 years and over",39376,17578,21798
"Incheon","2023","dead",11564,8144,3420
"Gwangju","2012","Total",348858,192837,156021
"Gwangju","2012","Under 30 years",9569,5313,4256
"Gwangju","2012","30-39 Years old",64527,35484,29043
"Gwangju","2012","40-49 Years old",97662,51388,46274
"Gwangju","2012","50-59 Years old",81738,44784,36954
"Gwangju","2012","60-69 Years old",52507,30348,22159
"Gwangju","2012","70-79 Years old",30450,17275,13175
"Gwangju","2012","80 years and over",6499,3481,3018
"Gwangju","2012","dead",5906,4764,1142
"Gwangju","2013","Total",354659,194360,160299
"Gwangju","2013","Under 30 years",8331,4655,3676
"Gwangju","2013","30-39 Years old",61201,33945,27256
"Gwangju","2013","40-49 Years old",98997,51403,47594
"Gwangju","2013","50-59 Years old",85947,46417,39530
"Gwangju","2013","60-69 Years old",54104,30839,23265
"Gwangju","2013","70-79 Years old",32608,18342,14266
"Gwangju","2013","80 years and over",7371,3850,3521
"Gwangju","2013","dead",6100,4909,1191
"Gwangju","2014","Total",373513,203657,169856
"Gwangju","2014","Under 30 years",8254,4632,3622
"Gwangju","2014","30-39 Years old",61996,34757,27239
"Gwangju","2014","40-49 Years old",105032,54343,50689
"Gwangju","2014","50-59 Years old",92186,49296,42890
