"By the number of household members","By the item of monthly income & expenditure of household","PERIOD","All households","Salary & wage earners' households","Other households",
"1 person","Current income","2015.3/4","1634588.381","2164446.084","1226230.001",
"1 person","Current income","2015.4/4","1575865.958","2104073.771","1165396.745",
"1 person","Current income","2016.1/4","1577687.809","2394450.684","1061035.974",
"1 person","Current income","2016.2/4","1605664.599","2274368.799","1097094.376",
"1 person","Current income","2016.3/4","1652982.898","2360150.989","1113450.241",
"1 person","Current income","2016.4/4","1626641.327","2238631.663","1152842.653",
"1 person","Current income","2017.1/4","1573500.411","2339030.851","1078962.232",
"1 person","Current income","2017.2/4","1559252.013","2106711.819","1118214.229",
"1 person","Current income","2017.3/4","1611565.396","2204949.588","1137191.939",
"1 person","Current income","2017.4/4","1611959.908","2192360.698","1144310.396",
"1 person","Current income","2018.1/4","1653625.186","2542995.346","1113027.761",
"1 person","Current income","2018.2/4","1658080.843","2357600.566","1111301.075",
"1 person","Current income","2018.3/4","1727017.092","2446850.094","1122236.675",
"1 person","Current income","2018.4/4","1682829.244","2325938.515","1145731.928",
"1 person","Current income","2019.1/4","1769026.956","2592186.783","1161852.134",
"1 person","Current income","2019.2/4","1755904.394","2424783.975","1195095.696",
"1 person","Current income","2019.3/4","1864050.575","2680930.238","1183877.917",
"1 person","Current income","2019.4/4","1843377.037","2617650.688","1194265.704",
"1 person","Wage and salary income","2006.1/4","639262.328","1451124.951","22618.278",
"1 person","Wage and salary income","2006.2/4","641117.679","1425020.987","29862.914",
"1 person","Wage and salary income","2006.3/4","633261.85","1418360.712","23671.638",
"1 person","Wage and salary income","2006.4/4","713630.656","1643302.656","28721.805",
"1 person","Wage and salary income","2007.1/4","719014.023","1748488.97","34955.606",
"1 person","Wage and salary income","2007.2/4","687204.486","1583169.538","31695.108",
"1 person","Wage and salary income","2007.3/4","690562.909","1644822.458","29923.037",
"1 person","Wage and salary income","2007.4/4","675741.219","1645862.311","27944.08",
"1 person","Wage and salary income","2008.1/4","714093.702","1739319.615","36150.275",
"1 person","Wage and salary income","2008.2/4","656684.762","1622401.241","26743.05",
"1 person","Wage and salary income","2008.3/4","696503.89","1778474.191","27385.742",
"1 person","Wage and salary income","2008.4/4","707521.128","1813001.704","31277.429",
"1 person","Wage and salary income","2009.1/4","652528.658","1635802.913","37242.001",
"1 person","Wage and salary income","2009.2/4","633584.944","1517456.84","29568.008",
"1 person","Wage and salary income","2009.3/4","646626.379","1551459.655","53984.375",
"1 person","Wage and salary income","2009.4/4","678825.406","1631276.655","50866.883",
"1 person","Wage and salary income","2010.1/4","681315.172","1650642.982","52928.268",
"1 person","Wage and salary income","2010.2/4","702692.607","1554120.329","43422.508",
"1 person","Wage and salary income","2010.3/4","759550.43","1642622.762","28229.757",
"1 person","Wage and salary income","2010.4/4","756233.673","1617162.793","36780.913",
"1 person","Wage and salary income","2011.1/4","809607.541","1849893.746","33724.031",
"1 person","Wage and salary income","2011.2/4","755881.284","1632488.736","29525.494",
"1 person","Wage and salary income","2011.3/4","779792.166","1687994.744","22416.364",
"1 person","Wage and salary income","2011.4/4","768086.008","1755551.601","25655.668",
"1 person","Wage and salary income","2012.1/4","760938.536","1780983.586","33770.072",
"1 person","Wage and salary income","2012.2/4","754074.89","1629588.035","29973.738",
"1 person","Wage and salary income","2012.3/4","757891.373","1757244.303","23111.125",
"1 person","Wage and salary income","2012.4/4","710966.485","1699707.139","30732.586",
"1 person","Wage and salary income","2013.1/4","761379.779","1939009.483","29438.756",
"1 person","Wage and salary income","2013.2/4","713870.779","1637278.285","20502.935",
"1 person","Wage and salary income","2013.3/4","741445.173","1755361.016","12698.199",
"1 person","Wage and salary income","2013.4/4","698285.778","1689152.986","27089.7",
"1 person","Wage and salary income","2014.1/4","717943.251","1932945.593","21795.496",
"1 person","Wage and salary income","2014.2/4","684351.005","1666199.342","48330.933",
"1 person","Wage and salary income","2014.3/4","772520.013","1808104.524","28222.521",
"1 person","Wage and salary income","2014.4/4","776359.108","1729693.529","18075.25",
"1 person","Wage and salary income","2015.1/4","815924.947","2037088.818","26724.382",
"1 person","Wage and salary income","2015.2/4","779946.248","1747144.917","26348.636",
"1 person","Wage and salary income","2015.3/4","822441.926","1857381.834","24819.503",
"1 person","Wage and salary income","2015.4/4","816571.964","1837851.729","22937.545",
"1 person","Wage and salary income","2016.1/4","833416.677","2104665.01","29275.348",
"1 person","Wage and salary income","2016.2/4","859307.536","1955189.716","25855.248",
"1 person","Wage and salary income","2016.3/4","898663.882","2034783.78","31863.195",
"1 person","Wage and salary income","2016.4/4","861641.812","1941545.291","25588.026",
"1 person","Wage and salary income","2017.1/4","821041.354","2053603.527","24797.311",
"1 person","Wage and salary income","2017.2/4","817673.735","1793422.717","31602.933",
"1 person","Wage and salary income","2017.3/4","859163.732","1906155.263","22159.646",
"1 person","Wage and salary income","2017.4/4","848198.104","1885312.798","12557.993",
"1 person","Wage and salary income","2018.1/4","887685.67","2294322.809","32671.135",
"1 person","Wage and salary income","2018.2/4","934852.019","2106996.179","18645.24",
"1 person","Wage and salary income","2018.3/4","993405.738","2157809.532","15111.315",
"1 person","Wage and salary income","2018.4/4","949667.271","2044479.914","35326.649",
"1 person","Wage and salary income","2019.1/4","993918.605","2276972.314","47519.277",
"1 person","Wage and salary income","2019.2/4","982680.183","2114382.272","33827.219",
"1 person","Wage and salary income","2019.3/4","1054415.36","2292933.007","23166.967",
"1 person","Wage and salary income","2019.4/4","1043139.63","2254895.103","27265.966",
"1 person","Business income","2006.1/4","173091.878","12161.683","295325.177",
"1 person","Business income","2006.2/4","193703.345","13236.242","334423.987",
"1 person","Business income","2006.3/4","163335.285","9579.475","282719.023",
"1 person","Business income","2006.4/4","180957.09","9804.74","307048.614",
"1 person","Business income","2007.1/4","180475.499","6972.636","295763.485",
"1 person","Business income","2007.2/4","201817.764","7631.963","343888.722",
"1 person","Business income","2007.3/4","220659.392","10018.923","366487.109",
"1 person","Business income","2007.4/4","237306.023","26387.506","378146.598",
"1 person","Business income","2008.1/4","218462.03","34166.055","340330.043",
"1 person","Business income","2008.2/4","216081.801","25677.34","340283.588",
"1 person","Business income","2008.3/4","195822.763","22532.259","302990.049",
"1 person","Business income","2008.4/4","215416.222","33385.568","326767.869",
"1 person","Business income","2009.1/4","203594.369","40441.01","305688.047",
"1 person","Business income","2009.2/4","216547.743","56277.629","326072.509",
"1 person","Business income","2009.3/4","230114.967","51288.126","347241.845",
"1 person","Business income","2009.4/4","256873.148","44280.962","397036.831",
"1 person","Business income","2010.1/4","247685.583","65357.178","365883.761",
"1 person","Business income","2010.2/4","253875.302","32794.046","425061.015",
"1 person","Business income","2010.3/4","230170.64","21602.849","402897.076",
"1 person","Business income","2010.4/4","254345.258","21689.864","448768.424",
"1 person","Business income","2011.1/4","249375.223","22572.064","418533.317",
"1 person","Business income","2011.2/4","258401.162","23254.903","453243.046",
"1 person","Business income","2011.3/4","213974.949","10684.22","383504.836",
"1 person","Business income","2011.4/4","219671.358","7051.532","379530.507",
"1 person","Business income","2012.1/4","213620.017","5113.618","362259.803",
"1 person","Business income","2012.2/4","238170.98","6592.689","429699.924",
"1 person","Business income","2012.3/4","293791.877","17682.254","496803.136",
"1 person","Business income","2012.4/4","292891.404","21605.069","479531.006",
"1 person","Business income","2013.1/4","275896.054","20697.859","434511.303",
"1 person","Business income","2013.2/4","283664.672","32648.771","472147.388",
"1 person","Business income","2013.3/4","249050.712","31234.146","405605.286",
"1 person","Business income","2013.4/4","251994.327","30556.975","401992.108",
"1 person","Business income","2014.1/4","255821.376","36760.19","381334.675",
"1 person","Business income","2014.2/4","290510.991","32971.54","457339.466",
"1 person","Business income","2014.3/4","300486.097","39439.617","488105.976",
"1 person","Business income","2014.4/4","290242.993","41354.19","488209.581",
"1 person","Business income","2015.1/4","276747.553","45707.828","426061.405",
"1 person","Business income","2015.2/4","301567.105","34011.065","510034.712",
"1 person","Business income","2015.3/4","314219.999","33961.398","530213.741",
"1 person","Business income","2015.4/4","298759.418","43820.225","496872.145",
"1 person","Business income","2016.1/4","276339.68","55874.553","415797.185",
"1 person","Business income","2016.2/4","274689.147","36963.348","455486.968",
"1 person","Business income","2016.3/4","289239.186","61394.493","463072.895",
"1 person","Business income","2016.4/4","285095.784","49836.847","467231.621",
"1 person","Business income","2017.1/4","273554.116","49338.591","418398.961",
"1 person","Business income","2017.2/4","282444.527","66297.799","456573.975",
"1 person","Business income","2017.3/4","302707.124","80683.844","480200.816",
"1 person","Business income","2017.4/4","296657.79","74646.154","475540.442",
"1 person","Business income","2018.1/4","274059.59","39347.711","416727.562",
"1 person","Business income","2018.2/4","253933.034","25097.509","432802.38",
"1 person","Business income","2018.3/4","240212.526","38757.218","409468.763",
"1 person","Business income","2018.4/4","272458.547","37724.551","468498.326",
"1 person","Business income","2019.1/4","254673.675","28463.52","421529.619",
"1 person","Business income","2019.2/4","277359.047","32510.207","482647.656",
"1 person","Business income","2019.3/4","274488.437","63042.759","450548.112",
"1 person","Business income","2019.4/4","304537.132","82011.726","491091.023",
"1 person","Property Income","2006.1/4","6333.559","957.388","10416.988",
"1 person","Property Income","2006.2/4","9157.948","2522.747","14331.799",
"1 person","Property Income","2006.3/4","7619.51","880.716","12851.847",
"1 person","Property Income","2006.4/4","11145.239","1866.614","17980.996",
"1 person","Property Income","2007.1/4","12969.147","2728.596","19773.719",
"1 person","Property Income","2007.2/4","10169.293","1035.213","16852.004",
"1 person","Property Income","2007.3/4","14971.135","10414.4","18125.791",
"1 person","Property Income","2007.4/4","12792.051","5476.608","17676.929",
"1 person","Property Income","2008.1/4","13977.751","2739.87","21408.939",
"1 person","Property Income","2008.2/4","12797.063","9376.764","15028.142",
"1 person","Property Income","2008.3/4","11706.235","2822.69","17200.047",
"1 person","Property Income","2008.4/4","10731.197","4922.656","14284.392",
"1 person","Property Income","2009.1/4","11149.443","8379.057","12883.019",
"1 person","Property Income","2009.2/4","15086.222","13859.74","15924.37",
"1 person","Property Income","2009.3/4","10460.6","2397.084","15741.991",
"1 person","Property Income","2009.4/4","14112.59","12733.103","15022.096",
"1 person","Property Income","2010.1/4","17950.76","4269.104","26820.178",
"1 person","Property Income","2010.2/4","14716.547","4326.124","22761.968",
"1 person","Property Income","2010.3/4","11408.2","3728.193","17768.436",
"1 person","Property Income","2010.4/4","16592.766","15673.285","17361.149",
"1 person","Property Income","2011.1/4","11507.58","7089.197","14802.972",
"1 person","Property Income","2011.2/4","7875.971","5275.013","10031.122",
"1 person","Property Income","2011.3/4","8192.853","5165.493","10717.454",
"1 person","Property Income","2011.4/4","12044.86","6370.469","16311.177",
"1 person","Property Income","2012.1/4","14547.754","6129.14","20549.205",
"1 person","Property Income","2012.2/4","21554.505","20194.009","22679.715",
"1 person","Property Income","2012.3/4","21317.711","21221.396","21388.526",
"1 person","Property Income","2012.4/4","24600.632","25631.862","23891.167",
"1 person","Property Income","2013.1/4","23581.928","20980.321","25198.924",
"1 person","Property Income","2013.2/4","24461.274","14730.321","31768.047",
"1 person","Property Income","2013.3/4","23176.589","14080.964","29714.024",
"1 person","Property Income","2013.4/4","27191.177","6207.03","41405.47",
"1 person","Property Income","2014.1/4","17160.457","11515.574","20394.749",
"1 person","Property Income","2014.2/4","15375.498","9864.619","18945.326",
"1 person","Property Income","2014.3/4","9942.496","6137.315","12677.364",
"1 person","Property Income","2014.4/4","11807.069","11612.01","11962.219",
"1 person","Property Income","2015.1/4","13238.926","10349.213","15106.458",
"1 person","Property Income","2015.2/4","8097.316","4513.449","10889.703",
"1 person","Property Income","2015.3/4","8634.171","6079.624","10602.947",
"1 person","Property Income","2015.4/4","11440.308","4209.035","17059.715",
"1 person","Property Income","2016.1/4","14170.732","5510.198","19649.042",
"1 person","Property Income","2016.2/4","14346.834","10616.941","17183.533",
"1 person","Property Income","2016.3/4","13843.106","12066.535","15198.538",
"1 person","Property Income","2016.4/4","20602.463","22662.522","19007.579",
"1 person","Property Income","2017.1/4","10659.079","4451.576","14669.17",
"1 person","Property Income","2017.2/4","13028.649","6745.209","18090.636",
"1 person","Property Income","2017.3/4","9676.213","6636.961","12105.905",
"1 person","Property Income","2017.4/4","15674.09","13702.181","17262.928",
"1 person","Property Income","2018.1/4","10775.635","5072.732","14242.105",
"1 person","Property Income","2018.2/4","10602.278","3789.013","15927.87",
"1 person","Property Income","2018.3/4","8160.03","4571.59","11174.921",
"1 person","Property Income","2018.4/4","12173.127","5657.036","17615.087",
"1 person","Property Income","2019.1/4","8703.418","5899.952","10771.295",
"1 person","Property Income","2019.2/4","7304.287","4476.822","9674.919",
"1 person","Property Income","2019.3/4","9070.881","7674.384","10233.671",
"1 person","Property Income","2019.4/4","8984.847","4074.519","13101.415",
"1 person","Transfer income","2006.1/4","297268.783","119600.506","432215.365",
"1 person","Transfer income","2006.2/4","287775.402","120447.281","418250.819",
"1 person","Transfer income","2006.3/4","311851.229","113794.056","465632.772",
"1 person","Transfer income","2006.4/4","294202.865","108011.99","431373.586",
"1 person","Transfer income","2007.1/4","322256.633","108794.959","464096.175",
"1 person","Transfer income","2007.2/4","297923.608","104261.432","439611.47",
"1 person","Transfer income","2007.3/4","345893.944","132930.24","493330.052",
"1 person","Transfer income","2007.4/4","319607.672","115344.664","456004.039",
"1 person","Transfer income","2008.1/4","357665.746","126374.419","510610.022",
"1 person","Transfer income","2008.2/4","362549.054","131934.105","512980.344",
"1 person","Transfer income","2008.3/4","420723.571","140333.469","594123.992",
"1 person","Transfer income","2008.4/4","392991.528","126165.051","556214.408",
"1 person","Transfer income","2009.1/4","342466.112","147642.811","464377.346",
"1 person","Transfer income","2009.2/4","333162.554","137638.511","466779.014",
"1 person","Transfer income","2009.3/4","329144.715","134113.656","456884.93",
"1 person","Transfer income","2009.4/4","365743.649","156794.294","503505.584",
"1 person","Transfer income","2010.1/4","339971.022","198423.68","431732.029",
"1 person","Transfer income","2010.2/4","333192.471","146310.447","477897.331",
"1 person","Transfer income","2010.3/4","342079.18","183269.022","473598.59",
"1 person","Transfer income","2010.4/4","318345.507","161303.366","449580.935",
"1 person","Transfer income","2011.1/4","346644.498","172616.639","476440.841",
"1 person","Transfer income","2011.2/4","349102.945","155310.935","509678.752",
"1 person","Transfer income","2011.3/4","342617.456","159188.454","495584.086",
"1 person","Transfer income","2011.4/4","340596.207","144533.546","488006.779",
"1 person","Transfer income","2012.1/4","361746.377","178052.342","492697.955",
"1 person","Transfer income","2012.2/4","377006.376","190611.981","531165.564",
"1 person","Transfer income","2012.3/4","411268.706","153767.45","600598.051",
"1 person","Transfer income","2012.4/4","394687.731","164217.646","553246.564",
"1 person","Transfer income","2013.1/4","398444.714","196938.139","523688.607",
"1 person","Transfer income","2013.2/4","392464.056","191046.874","543704.106",
"1 person","Transfer income","2013.3/4","412888.313","211615.864","557551.886",
"1 person","Transfer income","2013.4/4","414956.455","215873.547","549811.728",
"1 person","Transfer income","2014.1/4","466705.594","269349.309","579782.853",
"1 person","Transfer income","2014.2/4","413757.707","243971.222","523741.712",
"1 person","Transfer income","2014.3/4","440204.901","261696.046","568503.163",
"1 person","Transfer income","2014.4/4","425494.819","242226.624","571266.66",
"1 person","Transfer income","2015.1/4","461838.99","250480.974","598433.159",
"1 person","Transfer income","2015.2/4","452435.187","259576.837","602701.721",
"1 person","Transfer income","2015.3/4","489292.295","267023.235","660593.821",
"1 person","Transfer income","2015.4/4","449094.259","218192.768","628527.336",
"1 person","Transfer income","2016.1/4","453760.707","228400.902","596314.391",
"1 person","Transfer income","2016.2/4","457321.085","271598.808","598568.62",
"1 person","Transfer income","2016.3/4","451236.727","251906.186","603315.614",
"1 person","Transfer income","2016.4/4","459301.267","224586.995","641015.43",
"1 person","Transfer income","2017.1/4","468245.855","231637.143","621096.787",
"1 person","Transfer income","2017.2/4","446105.119","240246.104","611946.707",
"1 person","Transfer income","2017.3/4","440018.336","211473.533","622725.577",
"1 person","Transfer income","2017.4/4","451429.922","218699.563","638949.03",
"1 person","Transfer income","2018.1/4","481104.29","204252.1","649386.955",
"1 person","Transfer income","2018.2/4","458693.514","221717.858","643925.595",
"1 person","Transfer income","2018.3/4","485238.788","245711.741","686481.67",
"1 person","Transfer income","2018.4/4","448530.3","238077.015","624291.868",
"1 person","Transfer income","2019.1/4","511731.254","280851.002","682031.931",
"1 person","Transfer income","2019.2/4","488560.876","273414.675","668945.902",
"1 person","Transfer income","2019.3/4","526075.901","317280.102","699929.163",
"1 person","Transfer income","2019.4/4","486715.425","276669.338","662807.296",
"1 person","Noncurrent income","2006.1/4","47096.596","50288.286","44672.372",
"1 person","Noncurrent income","2006.2/4","46262.863","46086.297","46400.541",
"1 person","Noncurrent income","2006.3/4","39267.701","37787.868","40416.718",
"1 person","Noncurrent income","2006.4/4","62292.913","49670.7","71591.963",
"1 person","Noncurrent income","2007.1/4","73215.44","74522.561","72346.893",
"1 person","Noncurrent income","2007.2/4","48108.881","46848.748","49030.824",
"1 person","Noncurrent income","2007.3/4","68402.868","51147.572","80348.817",
"1 person","Noncurrent income","2007.4/4","41379.948","48930.855","36337.84",
"1 person","Noncurrent income","2008.1/4","59272.499","64435.754","55858.231",
"1 person","Noncurrent income","2008.2/4","44809.166","56565.863","37140.214",
"1 person","Noncurrent income","2008.3/4","54037.366","46021.978","58994.288",
"1 person","Noncurrent income","2008.4/4","67411.439","78057.625","60898.963",
"1 person","Noncurrent income","2009.1/4","90992.253","136818.535","62316.327",
"1 person","Noncurrent income","2009.2/4","72545.015","98009.012","55143.528",
"1 person","Noncurrent income","2009.3/4","65400.719","59746.173","69104.297",
"1 person","Noncurrent income","2009.4/4","62618.283","69259.367","58239.765",
"1 person","Noncurrent income","2010.1/4","74176.145","72002.559","75585.218",
"1 person","Noncurrent income","2010.2/4","62150.406","72787.128","53914.273",
"1 person","Noncurrent income","2010.3/4","76782.898","48313.28","100360.151",
"1 person","Noncurrent income","2010.4/4","52359.707","46825.012","56984.885",
"1 person","Noncurrent income","2011.1/4","108948.256","65299.246","141503.284",
"1 person","Noncurrent income","2011.2/4","67016.041","46042.269","84394.881",
"1 person","Noncurrent income","2011.3/4","94316.248","56844.995","125564.586",
"1 person","Noncurrent income","2011.4/4","103131.283","65346.566","131539.889",
"1 person","Noncurrent income","2012.1/4","113773.67","77567.898","139583.996",
"1 person","Noncurrent income","2012.2/4","113210.853","90007.598","132401.317",
"1 person","Noncurrent income","2012.3/4","77245.572","58758.814","90838.073",
"1 person","Noncurrent income","2012.4/4","111274.172","120156.171","105163.533",
"1 person","Noncurrent income","2013.1/4","98313.338","63655.877","119854.25",
"1 person","Noncurrent income","2013.2/4","113228.677","75367.846","141657.602",
"1 person","Noncurrent income","2013.3/4","104856.237","76662.613","125120.264",
"1 person","Noncurrent income","2013.4/4","87659.616","53871.69","110546.965",
"1 person","Noncurrent income","2014.1/4","102655.993","70233.485","121232.793",
"1 person","Noncurrent income","2014.2/4","89204.82","83312.09","93022.003",
"1 person","Noncurrent income","2014.3/4","96561.427","99596.713","94379.899",
"1 person","Noncurrent income","2014.4/4","67769.563","72154.404","64281.853",
"1 person","Noncurrent income","2015.1/4","109002.286","74657.104","131198.518",
"1 person","Noncurrent income","2015.2/4","80305.432","64810.77","92378.174",
"1 person","Noncurrent income","2015.3/4","81223.567","52925.795","103032.501",
"1 person","Noncurrent income","2015.4/4","118621.111","88483.394","142041.069",
"1 person","Noncurrent income","2016.1/4","131843.036","64824.762","174236.14",
"1 person","Noncurrent income","2016.2/4","70338.425","87791.46","57064.852",
"1 person","Noncurrent income","2016.3/4","85812.142","61061.984","104695.231",
"1 person","Noncurrent income","2016.4/4","34446.928","48267.24","23747.339",
"1 person","Noncurrent income","2017.1/4","107802.986","69994.41","132227.598",
"1 person","Noncurrent income","2017.2/4","83288.366","55703.934","105510.594",
"1 person","Noncurrent income","2017.3/4","66145.241","67226.513","65280.833",
"1 person","Noncurrent income","2017.4/4","74751.798","61261.365","85621.519",
"1 person","Noncurrent income","2018.1/4","30951.915","30201.445","31408.082",
"1 person","Noncurrent income","2018.2/4","5432.825","672.073","9154.069",
"1 person","Noncurrent income","2018.3/4","29572.533","30292.623","28967.536",
"1 person","Noncurrent income","2018.4/4","21985.698","28225.364","16774.597",
"1 person","Noncurrent income","2019.1/4","27611.662","15382.402","36632.144",
"1 person","Noncurrent income","2019.2/4","17507.076","25827.91","10530.639",
"1 person","Noncurrent income","2019.3/4","23740.08","46926.492","4433.975",
"1 person","Noncurrent income","2019.4/4","20333.199","916.725","36610.975",
"1 person","Expenditure","2006.1/4","957963.157","1173667.57","794126.518",
"1 person","Expenditure","2006.2/4","900478.037","1102236.02","743155.664",
"1 person","Expenditure","2006.3/4","925862.74","1127596.044","769226.863",
"1 person","Expenditure","2006.4/4","1001930.794","1279900.93","797144.369",
"1 person","Expenditure","2007.1/4","1053429.44","1388857.917","830546.237",
"1 person","Expenditure","2007.2/4","995579.827","1210359.111","838442.185",
"1 person","Expenditure","2007.3/4","1111596.565","1284505.219","991890.819",
"1 person","Expenditure","2007.4/4","1050437.399","1331331.09","862870.99",
"1 person","Expenditure","2008.1/4","1134358.805","1464483.703","916059.597",
"1 person","Expenditure","2008.2/4","1044766.053","1301865.683","877058.673",
"1 person","Expenditure","2008.3/4","1134459.972","1371780.811","987694.687",
"1 person","Expenditure","2008.4/4","1146216.154","1409487.406","985168.074",
"1 person","Expenditure","2009.1/4","1118472.456","1528302.92","862019.88",
"1 person","Expenditure","2009.2/4","1041029.814","1350954.851","829234.448",
"1 person","Expenditure","2009.3/4","1114495.139","1364190.398","950951.309",
"1 person","Expenditure","2009.4/4","1161083.907","1526546.361","920131.667",
"1 person","Expenditure","2010.1/4","1220249.989","1573650.404","991150.823",
"1 person","Expenditure","2010.2/4","1107499.178","1281825.748","972516.147",
"1 person","Expenditure","2010.3/4","1193590.033","1423249.545","1003396.385",
"1 person","Expenditure","2010.4/4","1142823.91","1347079.47","972133.638",
"1 person","Expenditure","2011.1/4","1308692.363","1604139.184","1088337.316",
"1 person","Expenditure","2011.2/4","1185176.188","1361972.36","1038683.11",
"1 person","Expenditure","2011.3/4","1230531.665","1437049.768","1058310.38",
"1 person","Expenditure","2011.4/4","1231140.06","1480874.616","1043376.038",
"1 person","Expenditure","2012.1/4","1316313.652","1616246.539","1102497.863",
"1 person","Expenditure","2012.2/4","1235629.206","1493172.117","1022625.987",
"1 person","Expenditure","2012.3/4","1284427.168","1518657.373","1112208.002",
"1 person","Expenditure","2012.4/4","1294479.721","1616924.232","1072644.311",
"1 person","Expenditure","2013.1/4","1294155.787","1677475.361","1055908.297",
"1 person","Expenditure","2013.2/4","1289116.97","1635907.284","1028719.203",
"1 person","Expenditure","2013.3/4","1232789.33","1521372.375","1025371.701",
"1 person","Expenditure","2013.4/4","1207253.514","1489077.728","1016350.731",
"1 person","Expenditure","2014.1/4","1340565.128","1725633.047","1119936.61",
"1 person","Expenditure","2014.2/4","1292958.505","1566502.597","1115762.571",
"1 person","Expenditure","2014.3/4","1339247.976","1656734.858","1111063.131",
"1 person","Expenditure","2014.4/4","1285057.964","1576256.214","1053438.369",
"1 person","Expenditure","2015.1/4","1411160.265","1785323.405","1169350.163",
"1 person","Expenditure","2015.2/4","1285327.316","1577697.202","1057525.878",
"1 person","Expenditure","2015.3/4","1376839.458","1647492.628","1168248.567",
"1 person","Expenditure","2015.4/4","1364860.73","1700393.764","1104118.694",
"1 person","Expenditure","2016.1/4","1402860.257","1841752.917","1125234.149",
"1 person","Expenditure","2016.2/4","1376340.625","1787598.555","1063566.252",
"1 person","Expenditure","2016.3/4","1396052.788","1779867.139","1103222.301",
"1 person","Expenditure","2016.4/4","1364538.865","1716880.561","1091758.367",
"1 person","Consumption expenditure","2006.1/4","742791.679","878861.932","639440.559",
"1 person","Consumption expenditure","2006.2/4","685961.074","804254.451","593720.883",
"1 person","Consumption expenditure","2006.3/4","712897.432","838192.047","615612.396",
"1 person","Consumption expenditure","2006.4/4","771737.769","923897.345","659638.62",
"1 person","Consumption expenditure","2007.1/4","805983.342","999086.484","677671.497",
"1 person","Consumption expenditure","2007.2/4","763237.308","871764.251","683836.411",
"1 person","Consumption expenditure","2007.3/4","816672.022","938846.371","732089.953",
"1 person","Consumption expenditure","2007.4/4","815284.81","985546.375","701592.863",
"1 person","Consumption expenditure","2008.1/4","886096.835","1089205.552","751788.662",
"1 person","Consumption expenditure","2008.2/4","809059.552","946912.705","719137.248",
"1 person","Consumption expenditure","2008.3/4","862193.289","983846.144","786960.047",
"1 person","Consumption expenditure","2008.4/4","864233.933","1017907.608","770228.795",
"1 person","Consumption expenditure","2009.1/4","832583.639","1066150.348","686428.608",
"1 person","Consumption expenditure","2009.2/4","787014.945","978969.297","655837.926",
"1 person","Consumption expenditure","2009.3/4","840929.425","975848.569","752560.933",
"1 person","Consumption expenditure","2009.4/4","895105.662","1133641.693","737837",
"1 person","Consumption expenditure","2010.1/4","902680.066","1111371.426","767391.553",
"1 person","Consumption expenditure","2010.2/4","836698.311","934315.525","761112.199",
"1 person","Consumption expenditure","2010.3/4","902016.266","1043798.931","784598.257",
"1 person","Consumption expenditure","2010.4/4","883482.555","1006941.843","780311.315",
"1 person","Consumption expenditure","2011.1/4","987908.357","1167440.614","854006.632",
"1 person","Consumption expenditure","2011.2/4","910169.043","1011298.409","826373.383",
"1 person","Consumption expenditure","2011.3/4","922125.483","1056918.848","809717.486",
"1 person","Consumption expenditure","2011.4/4","958508.053","1118905.102","837912.828",
"1 person","Consumption expenditure","2012.1/4","982845.524","1174757.57","846035.5",
"1 person","Consumption expenditure","2012.2/4","947530.001","1089912.32","829771.402",
"1 person","Consumption expenditure","2012.3/4","941513.266","1059138.167","855028.851",
"1 person","Consumption expenditure","2012.4/4","1006496.628","1201807.841","872126.398",
"1 person","Consumption expenditure","2013.1/4","971768.704","1213310.693","821641.3",
"1 person","Consumption expenditure","2013.2/4","1013485.917","1240547.368","842990.109",
"1 person","Consumption expenditure","2013.3/4","919633.182","1106352.065","785429.913",
"1 person","Consumption expenditure","2013.4/4","942107.676","1114242.772","825506.379",
"1 person","Consumption expenditure","2014.1/4","994262.678","1242602.263","851974.027",
"1 person","Consumption expenditure","2014.2/4","993818.834","1132367.358","904070.104",
"1 person","Consumption expenditure","2014.3/4","1002332.659","1196122.884","863051.338",
"1 person","Consumption expenditure","2014.4/4","983917.962","1146328.221","854736.559",
"1 person","Consumption expenditure","2015.1/4","1055829.429","1235374.111","939795.236",
"1 person","Consumption expenditure","2015.2/4","976533.658","1127298.966","859064.125",
"1 person","Consumption expenditure","2015.3/4","1040151.011","1178347.237","933643.949",
"1 person","Consumption expenditure","2015.4/4","1055353.013","1259399.741","896788.717",
"1 person","Consumption expenditure","2016.1/4","1040595.345","1278494.745","890109.611",
"1 person","Consumption expenditure","2016.2/4","1039276.141","1253719.991","876184.962",
"1 person","Consumption expenditure","2016.3/4","1028792.289","1253111.667","857648.212",
"1 person","Consumption expenditure","2016.4/4","1045612.272","1230460.107","902504.36",
"1 person","01.Food and soft drinks","2006.1/4","104331.546","90381.109","114927.494",
"1 person","01.Food and soft drinks","2006.2/4","91885.407","81088.341","100304.504",
"1 person","01.Food and soft drinks","2006.3/4","103805.254","90627.883","114036.827",
"1 person","01.Food and soft drinks","2006.4/4","127084.29","101213.575","146143.788",
"1 person","01.Food and soft drinks","2007.1/4","109223.428","91005.798","121328.553",
"1 person","01.Food and soft drinks","2007.2/4","98699.17","82524.071","110533.258",
"1 person","01.Food and soft drinks","2007.3/4","127447.583","108779.252","140371.786",
"1 person","01.Food and soft drinks","2007.4/4","120599.641","104589.567","131290.347",
"1 person","01.Food and soft drinks","2008.1/4","116708.302","100252.071","127590.19",
"1 person","01.Food and soft drinks","2008.2/4","103118.257","93546.706","109361.829",
