"Type","Region","PERIOD","Sales Price Index",
"Total","Non-SeoulMetropolitanArea","2024.10 Month","95.89234719",
"Total","Non-SeoulMetropolitanArea","2024.11 Month","95.81002785",
"Total","Non-SeoulMetropolitanArea","2024.12 Month","95.68021498",
"Total","Non-SeoulMetropolitanArea","2025.01 Month","95.54894378",
"Total","Non-SeoulMetropolitanArea","2025.02 Month","95.45540263",
"Total","Non-SeoulMetropolitanArea","2025.03 Month","95.34331635",
"Total","6MetropolitanCities","2020.12 Month","94.14865099",
"Total","6MetropolitanCities","2021.01 Month","95.15912194",
"Total","6MetropolitanCities","2021.02 Month","96.14478878",
"Total","6MetropolitanCities","2021.03 Month","97.00506813",
"Total","6MetropolitanCities","2021.04 Month","97.81821373",
"Total","6MetropolitanCities","2021.05 Month","98.67633407",
"Total","6MetropolitanCities","2021.06 Month","100",
"Total","6MetropolitanCities","2021.07 Month","100.8415462",
"Total","6MetropolitanCities","2021.08 Month","101.7705177",
"Total","6MetropolitanCities","2021.09 Month","102.638276",
"Total","6MetropolitanCities","2021.10 Month","103.5379552",
"Total","6MetropolitanCities","2021.11 Month","104.1504293",
"Total","6MetropolitanCities","2021.12 Month","104.4261314",
"Total","6MetropolitanCities","2022.01 Month","104.4809362",
"Total","6MetropolitanCities","2022.02 Month","104.4781752",
"Total","6MetropolitanCities","2022.03 Month","104.4195938",
"Total","6MetropolitanCities","2022.04 Month","104.3943683",
"Total","6MetropolitanCities","2022.05 Month","104.2898937",
"Total","6MetropolitanCities","2022.06 Month","104.1676979",
"Total","6MetropolitanCities","2022.07 Month","103.9895323",
"Total","6MetropolitanCities","2022.08 Month","103.5273705",
"Total","6MetropolitanCities","2022.09 Month","102.8114063",
"Total","6MetropolitanCities","2022.10 Month","101.8100752",
"Total","6MetropolitanCities","2022.11 Month","100.0431033",
"Total","6MetropolitanCities","2022.12 Month","97.72723742",
"Total","6MetropolitanCities","2023.01 Month","96.05765142",
"Total","6MetropolitanCities","2023.02 Month","94.75385497",
"Total","6MetropolitanCities","2023.03 Month","93.76231642",
"Total","6MetropolitanCities","2023.04 Month","93.17735391",
"Total","6MetropolitanCities","2023.05 Month","92.85030052",
"Total","6MetropolitanCities","2023.06 Month","92.70833255",
"Total","6MetropolitanCities","2023.07 Month","92.62899158",
"Total","6MetropolitanCities","2023.08 Month","92.6725133",
"Total","6MetropolitanCities","2023.09 Month","92.77148947",
"Total","6MetropolitanCities","2023.10 Month","92.83647447",
"Total","6MetropolitanCities","2023.11 Month","92.74864769",
"Total","6MetropolitanCities","2023.12 Month","92.55865485",
"Total","6MetropolitanCities","2024.01 Month","92.40539072",
"Total","6MetropolitanCities","2024.02 Month","92.21911281",
"Total","6MetropolitanCities","2024.03 Month","92.04940219",
"Total","6MetropolitanCities","2024.04 Month","91.93735085",
"Total","6MetropolitanCities","2024.05 Month","91.85732734",
"Total","6MetropolitanCities","2024.06 Month","91.735348",
"Total","6MetropolitanCities","2024.07 Month","91.65074657",
"Total","6MetropolitanCities","2024.08 Month","91.65313653",
"Total","6MetropolitanCities","2024.09 Month","91.63975791",
"Total","6MetropolitanCities","2024.10 Month","91.55289679",
"Total","6MetropolitanCities","2024.11 Month","91.43116319",
"Total","6MetropolitanCities","2024.12 Month","91.23627566",
"Total","6MetropolitanCities","2025.01 Month","91.04038402",
"Total","6MetropolitanCities","2025.02 Month","90.88490966",
"Total","6MetropolitanCities","2025.03 Month","90.71948134",
"Total","5MetropolitanCities","2020.12 Month","94.74670377",
"Total","5MetropolitanCities","2021.01 Month","95.86241429",
"Total","5MetropolitanCities","2021.02 Month","96.81987668",
"Total","5MetropolitanCities","2021.03 Month","97.56558244",
"Total","5MetropolitanCities","2021.04 Month","98.2001908",
"Total","5MetropolitanCities","2021.05 Month","98.9035055",
"Total","5MetropolitanCities","2021.06 Month","100",
"Total","5MetropolitanCities","2021.07 Month","100.6950565",
"Total","5MetropolitanCities","2021.08 Month","101.4844076",
"Total","5MetropolitanCities","2021.09 Month","102.1632775",
"Total","5MetropolitanCities","2021.10 Month","102.8667829",
"Total","5MetropolitanCities","2021.11 Month","103.3672531",
"Total","5MetropolitanCities","2021.12 Month","103.5699266",
"Total","5MetropolitanCities","2022.01 Month","103.6043173",
"Total","5MetropolitanCities","2022.02 Month","103.5833068",
"Total","5MetropolitanCities","2022.03 Month","103.5194349",
"Total","5MetropolitanCities","2022.04 Month","103.4829094",
"Total","5MetropolitanCities","2022.05 Month","103.3963304",
"Total","5MetropolitanCities","2022.06 Month","103.2815247",
"Total","5MetropolitanCities","2022.07 Month","103.1317963",
"Total","5MetropolitanCities","2022.08 Month","102.735104",
"Total","5MetropolitanCities","2022.09 Month","102.0769799",
"Total","5MetropolitanCities","2022.10 Month","101.1794289",
"Total","5MetropolitanCities","2022.11 Month","99.63070976",
