,Province,Year,Live Births,Fertility Rate,Crude birth rate(per 1000 population),Marriages,Crude marriage rate(per 1000 population),Total number of houses,House owned by ordinary households,Total number of apartments, Apartments owned by ordinary households,House Ownership Rate
46,Ulsan,2021,6127,0.94,5.5,4077,3.6,396893,363980,291892,265153,91.71
47,Ulsan,2023,5082,0.814,4.6,4274,3.9,405885,366922,301668,268977,90.4
48,Sejong,2017,3504,1.668,13.4,1728,6.6,104448,86033,85256,67908,82.37
49,Sejong,2018,3703,1.566,12.5,2038,6.9,118959,99021,99512,80703,83.24
50,Sejong,2019,3819,1.472,11.7,2039,6.2,132257,104450,112722,86045,78.98
51,Sejong,2020,3468,1.277,10,1854,5.3,136887,108583,117312,90232,79.32
52,Sejong,2021,3570,1.277,9.8,1627,4.5,143798,113398,124375,95088,78.86
53,Sejong,2023,2761,0.971,7.2,1705,4.4,153545,130486,133671,111901,84.98
54,Gyeonggi-do,2017,94088,1.069,7.4,66429,5.2,3949829,3432841,2676037,2239395,86.91
55,Gyeonggi-do,2018,88175,1.002,6.9,66877,5.2,4169100,3571108,2860249,2353988,85.66
56,Gyeonggi-do,2019,83198,0.943,6.4,62356,4.8,4354776,3724077,3021258,2494568,85.52
57,Gyeonggi-do,2020,77737,0.878,5.9,57814,4.4,4495115,3825263,3146667,2586868,85.1
58,Gyeonggi-do,2021,76139,0.853,5.7,54658,4.1,4608126,3922705,3254817,2680489,85.13
59,Gyeonggi-do,2023,68817,0.766,5.1,54221,4.0,4859873,4107388,3477378,2847281,84.52
60,Gangwon,2017,8958,1.123,5.8,7295,4.7,586383,489427,307839,234774,83.47
61,Gangwon,2018,8351,1.067,5.4,6994,4.6,603644,501687,322796,244480,83.11
62,Gangwon,2019,8283,1.082,5.4,6762,4.4,627376,518922,346389,260819,82.71
63,Gangwon,2020,7835,1.036,5.1,5868,3.8,644023,534976,360950,274564,83.07
64,Gangwon,2021,7357,0.979,4.8,5622,3.7,654719,548185,370287,286047,83.73
65,Gangwon,2023,6688,0.893,4.4,5494,3.6,674829,567582,387357,301084,84.11
66,Chungcheongbuk-do,2017,11394,1.235,7.2,7990,5.0,581855,499075,327319,262372,85.77
67,Chungcheongbuk-do,2018,10586,1.172,6.7,7827,4.9,607686,511027,351577,276250,84.09
68,Chungcheongbuk-do,2019,9333,1.05,5.9,7239,4.6,625957,528662,369668,290653,84.46
69,Chungcheongbuk-do,2020,8607,0.983,5.4,6682,4.2,640256,541017,383130,300974,84.5
70,Chungcheongbuk-do,2021,8190,0.949,5.1,5882,3.7,650224,550515,392988,309205,84.67
71,Chungcheongbuk-do,2023,7580,0.886,4.8,6212,3.9,673539,567193,414551,324292,84.21
72,Chungcheongnam-do,2017,15670,1.276,7.5,10961,5.2,805555,686505,426251,344374,85.22
73,Chungcheongnam-do,2018,14380,1.186,6.8,10970,5.2,835752,710505,453830,365819,85.01
74,Chungcheongnam-do,2019,13228,1.112,6.3,9826,4.7,850525,728188,467790,382704,85.62
75,Chungcheongnam-do,2020,11950,1.029,5.7,8493,4.0,865008,738456,481332,391361,85.37
76,Chungcheongnam-do,2021,10984,0.963,5.2,8016,3.8,874666,747832,490513,398932,85.5
77,Chungcheongnam-do,2023,9436,0.842,4.5,8264,3.9,925749,769377,540689,422270,83.11
78,Jeollabuk-do,2017,11348,1.151,6.1,7817,4.2,698264,587414,374491,305836,84.12
79,Jeollabuk-do,2018,10001,1.044,5.5,7219,3.9,712850,599033,389225,316213,84.03
80,Jeollabuk-do,2019,8971,0.971,4.9,7005,3.9,724524,609159,401005,325230,84.08
81,Jeollabuk-do,2020,8165,0.909,4.5,6053,3.4,741221,618177,416861,332691,83.4
82,Jeollabuk-do,2021,7475,0.85,4.2,5325,3.0,747880,625663,424658,340009,83.66
83,Jeollabuk-do,2023,6622,0.78,3.8,5483,3.1,765051,636004,443907,353938,83.13
84,Jeollanam-do,2017,12354,1.325,6.5,8049,4.3,766231,606128,324257,220963,79.11
85,Jeollanam-do,2018,11238,1.24,6,7587,4.0,777966,610715,335966,231382,78.5
86,Jeollanam-do,2019,10832,1.234,5.8,7413,4.0,787816,629635,346990,240274,79.92
87,Jeollanam-do,2020,9738,1.145,5.3,6365,3.4,802043,643892,359690,251776,80.28
88,Jeollanam-do,2021,8430,1.017,4.6,6201,3.4,811478,657510,369551,264023,81.03
89,Jeollanam-do,2023,7828,0.972,4.3,6157,3.4,835004,675685,392551,282085,80.92
90,Gyeongsangbuk-do,2017,17957,1.256,6.7,12190,4.6,1038274,895585,485196,393372,86.26
91,Gyeongsangbuk-do,2018,16079,1.167,6,11687,4.4,1060505,920796,507230,417352,86.83
92,Gyeongsangbuk-do,2019,14472,1.089,5.5,10637,4.0,1081216,937206,529133,433919,86.68
93,Gyeongsangbuk-do,2020,12873,1.003,4.9,9046,3.4,1094306,949301,541246,444103,86.75
94,Gyeongsangbuk-do,2021,12045,0.966,4.6,8163,3.1,1103666,967125,551145,459965,87.63
